Protein	Gene	Description	WT_1	WT_2	WT_3	OPP_WT_1	OPP_WT_2	OPP_WT_3	OE_1	OE_2	OE_3	OPP_OE_1	OPP_OE_2	OPP_OE_3	Repair_1	Repair_2	Repair_3	OPP_Repair_1	OPP_Repair_2	OPP_Repair_3
Q14204	DYNC1H1	Cytoplasmic_dynein_1_heavy_chain_1_OS=Homo_sapiens_OX=9606	5481799466	5647935898	5522571075	5917739461	5729843291	5965583710	5218083875	5372233806	5544136117	5491627502	5271970552	5408052763	5690043732	5836347219	5889024592	5320791743	5274571087	5293764777
P78527	PRKDC	DNA-dependent_protein_kinase_catalytic_subunit_OS=Homo_sapiens_OX=9606	6912818014	7245887755	6921206322	7701076329	7237287471	7478896089	5480605765	5155375173	5485049362	5644997139	5631537643	5591906517	6518139149	6455075230	6314395042	5924776215	6052717256	6242345055
P35579	MYH9	Myosin-9_OS=Homo_sapiens_OX=9606	11466854961	11327158008	11772912595	11834519282	12014485956	11864201902	14532177346	14568715100	14322448357	13572300382	13924415152	13383270574	16898961331	16968922787	17461555598	16602022253	16302408559	16120592674
Q9Y490	TLN1	Talin-1_OS=Homo_sapiens_OX=9606	5023806733	4807144830	5182891660	4068188742	4254796770	4045098303	4684717538	4660871733	4875032080	4551231046	4479558396	4502360820	5698411889	5605079933	5609355424	4696561219	4717581485	4637653095
P49327	FASN	Fatty_acid_synthase_OS=Homo_sapiens_OX=9606	4883918499	5319075651	5264351535	5394006774	5197566529	5398397242	4601492700	4929433275	4899287317	5199522665	4559099128	4857368220	5258025213	5159528630	5382754095	4526437521	4771079257	4700642565
Q15149	PLEC	Plectin_OS=Homo_sapiens_OX=9606	2213831715	2149722932	2278871816	2556448969	2546616794	2453535376	2256664800	2297754423	2245036071	2628553762	2439429090	2581337398	2139920696	2159470178	2305178431	2310028304	2235393818	2276826181
Q00610	CLTC	Clathrin_heavy_chain_1_OS=Homo_sapiens_OX=9606	6472922206	6357822017	6345212519	6646512452	6545818688	6607739065	6124429834	6237430859	6152291924	6335148259	6130787519	6164095830	7738684439	8289218823	7962399798	7365589511	7683979240	7661471016
P27708	CAD	CAD_protein_OS=Homo_sapiens_OX=9606	2927677308	2729553174	2879780003	3103207359	3126478514	3099651522	2187292117	2314809791	2376371017	2676889247	2678528497	2696962489	2545053883	2413435034	2556771370	2475161254	2602987250	2524183212
P46940	IQGAP1	Ras_GTPase-activating-like_protein_IQGAP1_OS=Homo_sapiens_OX=9606	3359658380	3549786226	3434965986	3995674415	3764036553	3915569354	3976536344	3977648464	4024372529	4319127511	4179895382	4058835126	4294679320	4316055639	4365377175	4636346884	4637965837	4758760898
Q92616	GCN1	eIF-2-alpha_kinase_activator_GCN1_OS=Homo_sapiens_OX=9606	2663627348	2593820984	2583529240	2896184894	2854378167	2821877505	2439167253	2388835728	2370865520	2801961973	2762420469	2761718294	2375256462	2462199955	2288600398	2403560824	2387280708	2347369641
Q6P2Q9	PRPF8	Pre-mRNA-processing-splicing_factor_8_OS=Homo_sapiens_OX=9606	8909877105	9176640219	8165874250	5095839715	6222482804	6042136401	9480819128	11491250790	11778300152	7415987867	6348423020	7592274810	10081295781	11299169848	10978475544	7441220317	6232406407	6138669031
O75643	SNRNP200	U5_small_nuclear_ribonucleoprotein_200_kDa_helicase_OS=Homo_sapiens_OX=9606	2970132702	3021388480	3013153275	2978640675	2933660922	2970433074	2756457308	2779517917	2736246188	3171112868	2816727557	3182690171	2698396060	2690327337	2818934815	2856193593	3018834152	2740994889
Q7Z6Z7	HUWE1	E3_ubiquitin-protein_ligase_HUWE1_OS=Homo_sapiens_OX=9606	1085625388	1001728538	959581779	1039206147	1009758743	1052435596	959750911	949462958	912710345	983394520	990041620	972539784	1132430244	1085717523	1112652741	1070640018	1078222959	1094871481
P07814	EPRS1	Bifunctional_glutamate/proline--tRNA_ligase_OS=Homo_sapiens_OX=9606	3312475637	3349646613	3481457427	3499316686	3422380774	3608074943	3066463472	3024653801	3064468719	3118061783	3177865732	3180904716	3101437041	2981560644	3022898225	2816210353	3111412371	2870472845
P49792	RANBP2	E3_SUMO-protein_ligase_RanBP2_OS=Homo_sapiens_OX=9606	1468348852	1338176565	1662340733	1149024497	1188862861	1205031601	1374279902	1313319339	1306781977	1151591081	1113529064	1119642695	1501874983	1343066128	1345934311	1038307903	1050605340	1032819240
Q5T4S7	UBR4	E3_ubiquitin-protein_ligase_UBR4_OS=Homo_sapiens_OX=9606	1151029154	1168788245	1204287763	1397814242	1387104541	1368337067	960219480	905355272	883414563	1043373955	1225395126	1231747259	1082036443	1050419075	1061352681	1195117251	1179869232	1184849246
