case	Cell	Group	Protein	Line	genetic
WT_1	SUDHL10	WT	background	WT	WT
WT_2	SUDHL10	WT	background	WT	WT
WT_3	SUDHL10	WT	background	WT	WT
OPP_WT_1	SUDHL10	nasWT	nascent	WT	WT
OPP_WT_2	SUDHL10	nasWT	nascent	WT	WT
OPP_WT_3	SUDHL10	nasWT	nascent	WT	WT
OE_1	SUDHL10	OE	background	OE	Alt
OE_2	SUDHL10	OE	background	OE	Alt
OE_3	SUDHL10	OE	background	OE	Alt
OPP_OE_1	SUDHL10	nasOE	nascent	OE	Alt
OPP_OE_2	SUDHL10	nasOE	nascent	OE	Alt
OPP_OE_3	SUDHL10	nasOE	nascent	OE	Alt
Repair_1	SUDHL10	Repair	background	Repair	Alt
Repair_2	SUDHL10	Repair	background	Repair	Alt
Repair_3	SUDHL10	Repair	background	Repair	Alt
OPP_Repair_1	SUDHL10	nasRepair	nascent	Repair	Alt
OPP_Repair_2	SUDHL10	nasRepair	nascent	Repair	Alt
OPP_Repair_3	SUDHL10	nasRepair	nascent	Repair	Alt
