geneName	Pvalue_OE_WT	Pvalue_Repair_WT	FDR_OE_WT	FDR_Repair_WT	FoldC_OE_WT	FoldC_Repair_WT
NFKB1	0.00489224573362961	0.049881665607844	0.0468457894298003	0.103354755443751	-0.0795783506705074	-0.0687139508382302
BTK	0.01158397952641	0.0272125236176993	0.0716352186722795	0.0658050582123664	-0.200038808604143	-0.175920175564332
CD22	0.0328729767162291	4.37483144324325e-06	0.125387271542522	0.000556920484681823	0.109028090544259	0.845567520443501
HDAC1	0.689921339221844	9.58962035836412e-05	0.798174531026433	0.00220069468658519	0.0209814867425422	-0.227677871591304
MTOR	0.414720826487845	0.0051890301761362	0.57800613312062	0.0206444428836902	0.089682288653691	0.210477115627748
HDAC2	0.0129615186828733	0.645206791608079	0.0770250524713571	0.72051571809351	0.274085248209008	-0.0268897652985114
MS4A1	0.0595031963934932	3.61192098167302e-05	0.17390657511729	0.00143810023085689	0.118639301957909	0.874249913735145
PIK3CD	0.0264815691526481	0.000195982681402422	0.111256982089372	0.00304434150958924	0.156700153877122	0.322389555609174
JAK1	0.286109739372669	0.00842451671687412	0.45566277261321	0.0283546174096859	0.0955688887237329	0.215092638414303
CD19	0.147170335234012	0.0120143044024461	0.301088401253456	0.0364513713874919	-0.103364014089948	0.132221844340343
CD81	0.0195792986334116	1.4862088341509e-05	0.0954260355240474	0.000894490340181981	0.377739374420008	0.898300987683051
CD79B	0.314698058459426	0.206586131688163	0.484352408738028	0.303145323787688	-0.193127331870269	0.143929251469668
CD37	0.526011170522591	0.0398189184482368	0.673086234517907	0.08703662241895	-0.0913064419520992	0.409002213868767
CD40	0.869311655137026	0.0358313324567865	0.91857996655899	0.0809175291432491	-0.0411379804199132	0.588596678936867
CD27	0.240686025640287	0.013674297332639	0.407787518400696	0.0403064709531545	0.0571314840776829	-0.207806770868535
HDAC7	0.808406442012959	0.0712048960333221	0.878342635103731	0.135299758395182	0.0234048065963535	0.160750500254125
PIK3CG	0.09569183268811	0.0405029818776442	0.232973154277355	0.0879008109847741	-0.248710298973819	-0.394555556044303
HDAC3	0.718633342809776	0.198733276932124	0.81606980745577	0.294754718499485	0.037649554674795	0.149329055781699
PIK3CA	0.14037103997528	0.435350629373501	0.292613976203001	0.53549927114818	-0.0741812080252693	0.0219113204059536
CXCR4	0.263752563035836	0.00566095788964548	0.432704680276858	0.0218342677957138	-0.200044418749368	0.191135509155233
