geneName Pvalue_OE_WT Pvalue_Repair_WT FDR_OE_WT FDR_Repair_WT FoldC_OE_WT FoldC_Repair_WT
6 PLEC 0.121374451239586 0.0435401181585041 0.267120574487356 0.0930485762132193 0.0567513530783401 -0.0777897367501836
8 CAD 0.00149117255560388 0.000981988218168478 0.0269220400371259 0.00703504343893068 -0.169799887186535 -0.224349706322997
9 IQGAP1 0.00727405749402262 0.000132585251852207 0.0558613079956396 0.00248645385357617 0.144270562852586 0.331369933096685
10 GCN1 0.93760492416141 0.000290284266960671 0.960670497250209 0.00369769932295649 -0.00155241456009492 -0.19306577028615
16 UBR4 0.152508406185034 0.00042144643504376 0.307033648546766 0.00445185050568674 -0.204451735336907 -0.149833585970072
21 ACTN4 3.71669337090628e-05 6.78264365603173e-06 0.0111017661889209 0.000637753733245848 0.439535364410943 0.571817398995144
32 RNF213 0.180454154486308 0.0659470830304998 0.341510312110103 0.127366455882786 0.167771204381438 0.218671907468238
40 NUMA1 0.000467921926121051 0.00134869999686198 0.0165887937644011 0.00862901258808112 0.426013940994581 0.372276291848598
48 CKAP5 0.000920238544384861 0.00070190679793467 0.0216734003353267 0.00583118706712917 0.213427980409065 0.167173772950033
57 XPO1 0.00299528256229965 0.0149962788532796 0.0363641592838532 0.0428112004277351 0.24760778100206 0.156793634193757
62 INPP5D 0.00377475453949095 0.566716751795962 0.040960439195818 0.654468073916979 -0.156609494217939 -0.0120158452223293
63 CCT2 0.00108721111343658 0.00218556126784818 0.0235456264566852 0.0115906404942441 0.298057775123073 0.120393572719166
66 CCT8 0.0574662502257285 0.0540322955918586 0.17035813927169 0.1097280900664 0.144850136985216 0.147941729079825
72 TOP2A 0.000921203260002296 0.000275991484899643 0.0216734003353267 0.00355137902977487 -0.351590657150624 -0.516818698334042
77 MSN 0.0376627749496808 0.0143786188274781 0.133430885105782 0.0415336831372997 0.263411589692485 0.483101923449293
78 MACF1 0.790499931728033 0.0381747517137985 0.865769709399978 0.0845691246930996 -0.0174277514627388 0.182297360352731
79 TPP2 0.0272558683501389 9.94904475774601e-05 0.113132617947329 0.00220069468658519 0.146295972286527 0.383218550212494
81 PDIA4 0.00152032452151149 0.000638041970832575 0.0269220400371259 0.00553278921120247 -0.127500847118526 0.14328595381302
82 ANXA6 0.0128677886271505 0.00635770056073232 0.0767323432420867 0.0235558039386904 -0.199769257020918 -0.194559307497403
89 KPNB1 0.602221366144027 0.577305925288202 0.73010762602876 0.663463349310648 0.0329198336205963 0.0439907831185771
98 ILF3 0.00366288266852459 0.00159029202520985 0.0404244790880241 0.00953806665409756 0.225150663406257 0.279653917236466
99 NUP210 0.777261059668578 0.0891087262805663 0.855342926859804 0.159318399733406 0.0226940768117316 0.167996039350825
100 CCT4 0.00139814307833215 0.0039145280310743 0.0263804196383052 0.0171854088963873 0.149033239887189 0.0835282337240528
102 DOCK8 0.289883196891052 0.0889837691799012 0.460115126374757 0.159149961739865 0.0491373698743587 0.0877891353231668
106 CCT5 0.0178510611990436 0.147408450687009 0.0902930847540185 0.234548460115574 0.156308617952426 0.076283435102102
