Sample	 Source	 Position	 Absorbance	 Fraction.Number
332598	74631	0	0.808987	0
263664	74638	0.04	1.284406	-100
58449	74604	0.07	4.36598	-100
62170	74638	0.11	4.24063	-100
59864	74606	0.15	4.31709	-100
58248	74608	0.19	4.373138	-100
57202	74639	0.23	4.411065	-100
56341	74648	0.27	4.442344	-100
54791	74636	0.3	4.499094	-100
53793	74627	0.35	4.53646	-100
52934	74605	0.39	4.568794	-100
53147	74620	0.42	4.560989	-100
52463	74593	0.46	4.586753	-100
52521	74573	0.5	4.583943	-100
52501	74589	0.54	4.585161	-100
52578	74613	0.58	4.582821	-100
52425	74548	0.62	4.587001	-100
52332	74571	0.66	4.591265	-100
52413	74604	0.7	4.589005	-100
52230	74635	0.74	4.597012	-100
52102	74663	0.78	4.6028	-100
51893	74646	0.82	4.610558	-100
51827	74695	0.86	4.614505	-100
51812	74686	0.89	4.614851	-100
51518	74626	0.93	4.62485	-100
51294	74610	0.97	4.633327	-100
51281	74754	1.01	4.637791	-100
51255	74766	1.05	4.639157	-100
51074	74755	1.09	4.646094	-100
50850	74616	1.13	4.651279	-100
50678	74634	1.17	4.658706	-100
50565	74623	1.21	4.662972	-100
50464	74620	1.25	4.66698	-100
50240	74624	1.29	4.676192	-100
50057	74640	1.33	4.684098	-100
49807	74641	1.37	4.69437	-100
49556	74648	1.4	4.704899	-100
49150	74639	1.44	4.721484	-100
48838	74636	1.48	4.734432	-100
48477	74613	1.52	4.748982	-100
48153	74648	1.56	4.763663	-100
47931	74671	1.6	4.773748	-100
47628	74629	1.64	4.785573	-100
47409	74680	1.68	4.796401	-100
47082	74621	1.72	4.808945	-100
46796	74629	1.76	4.821632	-100
46494	74628	1.79	4.834852	-100
46262	74619	1.84	4.84484	-100
45994	74616	1.87	4.856646	-100
45808	74624	1.91	4.865156	-100
45621	74631	1.95	4.873718	-100
45455	74624	1.99	4.880985	-100
45280	74610	2.03	4.888494	-100
45138	74643	2.07	4.895825	-100
45002	74658	2.11	4.902411	-100
44978	74685	2.15	4.904242	-100
44890	74654	2.18	4.9074	-100
44841	74631	2.22	4.909004	-100
44877	74636	2.27	4.907499	-100
44909	74641	2.31	4.906177	-100
44896	74622	2.34	4.906249	-100
44981	74644	2.38	4.902982	-100
45028	74614	2.42	4.900022	-100
45139	74646	2.46	4.895862	-100
45379	74659	2.5	4.885368	-100
45573	74636	2.54	4.876009	-100
45699	74623	2.58	4.870003	-100
45883	74651	2.62	4.862549	-100
46185	74653	2.66	4.849181	-100
46483	74639	2.7	4.835637	-100
46798	74632	2.74	4.821626	-100
47138	74645	2.77	4.807171	-100
47509	74626	2.81	4.790609	-100
47955	74639	2.85	4.771847	-100
48386	74623	2.89	4.753101	-100
48838	74626	2.93	4.734158	-100
49312	74622	2.97	4.714285	-100
49785	74644	3.01	4.695356	-100
50336	74615	3.05	4.67204	-100
50930	74625	3.09	4.64831	-100
51581	74660	3.13	4.623281	-100
52188	74723	3.17	4.601069	-100
52789	74732	3.21	4.577887	-100
53484	74761	3.25	4.551918	-100
54191	74723	3.28	4.524008	-100
54820	74731	3.32	4.500614	-100
55624	74723	3.36	4.470605	-100
56325	74698	3.4	4.444295	-100
57137	74691	3.44	4.414817	-100
57976	74702	3.48	4.385291	-100
58867	74721	3.52	4.354605	-100
59813	74706	3.56	4.321575	-100
60846	74726	3.6	4.287087	-100
61930	74761	3.63	4.251913	-100
62938	74718	3.68	4.217701	-100
63974	74701	3.71	4.183829	-100
65067	74705	3.75	4.149276	-100
66074	74716	3.79	4.118154	-100
67204	74699	3.83	4.082991	-100
68524	74713	3.87	4.043575	-100
69814	74727	3.91	4.005798	-100
71084	74759	3.95	3.969787	-100
72393	74731	3.99	3.931685	-100
73824	74757	4.03	3.892345	-100
75351	74764	4.07	3.850646	-100
76705	74741	4.11	3.813576	-100
78169	74750	4.14	3.775138	-100
79590	74727	4.18	3.737647	-100
81010	74706	4.22	3.700888	-100
82702	74717	4.26	3.658894	-100
84481	74708	4.3	3.615101	-100
86354	74718	4.34	3.570506	-100
88146	74750	4.38	3.529357	-100
89678	74746	4.42	3.493991	-100
91316	74736	4.46	3.456681	-100
92857	74734	4.5	3.422386	-100
94449	74707	4.53	3.386864	-100
96419	74740	4.58	3.345529	-100
98285	74719	4.62	3.305734	-100
100006	74723	4.66	3.270326	-100
101621	74729	4.69	3.237711	-100
103068	74695	4.73	3.207851	-100
105220	74718	4.77	3.166199	-100
107364	74784	4.81	3.126732	-100
109099	74785	4.85	3.093959	-100
110904	74733	4.89	3.058961	-100
112918	74743	4.93	3.022411	-100
115343	74743	4.97	2.978934	-100
117663	74760	5.01	2.938653	-100
119560	74747	5.05	2.905572	-100
121706	74738	5.09	2.868925	-100
124150	74724	5.12	2.827861	-100
127004	74745	5.16	2.781932	-100
129475	74711	5.2	2.741574	-100
131573	74725	5.24	2.709068	-100
133769	74700	5.28	2.674515	-100
136494	74690	5.32	2.632979	-100
139340	74686	5.36	2.590645	-100
142117	74746	5.4	2.551911	-100
144179	74730	5.44	2.521999	-100
146767	74711	5.47	2.485077	-100
149789	74712	5.51	2.443402	-100
152440	74702	5.56	2.407232	-100
154767	74714	5.59	2.376563	-100
156918	74697	5.63	2.347855	-100
159778	74715	5.67	2.311392	-100
162555	74751	5.71	2.277121	-100
165106	74730	5.75	2.244685	-100
167572	74746	5.79	2.214789	-100
169990	74726	5.83	2.184928	-100
173407	74704	5.87	2.143604	-100
176478	74710	5.91	2.107849	-100
180301	74732	5.95	2.064601	-100
183167	74778	5.99	2.033591	-100
185595	74722	6.03	2.005114	-100
188722	74721	6.06	1.9709	-100
192337	74732	6.1	1.932378	-100
196058	74730	6.14	1.893117	-100
198806	74741	6.18	1.864938	-100
201473	74766	6.22	1.838356	-100
204377	74731	6.26	1.808117	-100
207397	74734	6.3	1.778185	-100
210593	74741	6.34	1.747087	-100
213280	74712	6.38	1.720351	-100
215826	74727	6.42	1.696481	-100
219189	74715	6.46	1.664516	-100
222042	74703	6.5	1.637727	-100
225043	74728	6.53	1.610943	1
227437	74737	6.57	1.589538	-100
229852	74758	6.61	1.568501	-100
232613	74789	6.65	1.544917	-100
235363	74751	6.69	1.51983	-100
238068	74761	6.73	1.496722	-100
240776	74789	6.77	1.474345	-100
243059	74734	6.81	1.453531	-100
246055	74749	6.85	1.428875	-100
249725	74718	6.89	1.397733	-100
252788	74715	6.92	1.372707	-100
255388	74691	6.96	1.351112	-100
257866	74724	7.01	1.332258	-100
260566	74730	7.04	1.31111	-100
263714	74743	7.08	1.286894	-100
266725	74733	7.12	1.263391	-100
268482	74726	7.16	1.249765	-100
270652	74710	7.2	1.232856	-100
273285	74720	7.24	1.213321	-100
275452	74742	7.28	1.197763	-100
278462	74782	7.32	1.17662	-100
279973	74740	7.36	1.164398	-100
282180	74742	7.39	1.148386	-100
285051	74767	7.43	1.128358	-100
287278	74753	7.47	1.112051	-100
289468	74735	7.51	1.09602	-100
291147	74745	7.55	1.08446	-100
293051	74737	7.59	1.070903	-100
295463	74725	7.63	1.053803	-100
297381	74708	7.67	1.040098	-100
298852	74709	7.71	1.030029	-100
300451	74720	7.75	1.019412	-100
303238	74741	7.79	1.001095	-100
305655	74747	7.83	0.985015	-100
307632	74757	7.87	0.972097	-100
308967	74722	7.91	0.962279	-100
311077	74721	7.95	0.948325	-100
314623	74783	7.98	0.92683	-100
316942	74737	8.02	0.910546	-100
318843	74713	8.07	0.897653	-100
321924	74721	8.11	0.878195	-100
324750	74704	8.15	0.859846	-100
328144	74726	8.19	0.839175	-100
329960	74765	8.23	0.828951	-100
331119	74734	8.27	0.820928	-100
333201	74751	8.31	0.808568	-100
335330	74707	8.35	0.794331	-100
338492	74729	8.39	0.77573	-100
339870	74731	8.42	0.767472	-100
341365	74759	8.47	0.759258	-100
344120	74752	8.5	0.742619	-100
346195	74737	8.54	0.729908	-100
348155	74747	8.58	0.71863	-100
349481	74769	8.62	0.711454	-100
351453	74763	8.66	0.699777	-100
353777	74709	8.7	0.684813	-100
355564	74722	8.74	0.67486	-100
358217	74758	8.78	0.660635	-100
360474	74798	8.82	0.648879	-100
361947	74757	8.86	0.639413	-100
364700	74771	8.89	0.624292	-100
367171	74744	8.93	0.609736	-100
369732	74744	8.97	0.595514	-100
371702	74751	9.01	0.584833	-100
372806	74765	9.05	0.579148	-100
374582	74750	9.09	0.569013	-100
376892	74754	9.13	0.556543	-100
378777	74729	9.17	0.545651	-100
380420	74687	9.21	0.535644	-100
381540	74708	9.25	0.530205	-100
383648	74748	9.29	0.520026	-100
386022	74769	9.33	0.507979	-100
387868	74794	9.36	0.498901	-100
388772	74768	9.4	0.493427	-100
390226	74798	9.44	0.486609	-100
391348	74762	9.48	0.47975	-100
392886	74763	9.52	0.471752	-100
