Sample	 Source	 Position	 Fraction Number	 Absorbance
364813	74707	0	0	0.621906
73498	74698	0.04	-100	3.899785
51857	74680	0.07	-100	4.61291
49209	74688	0.11	-100	4.720373
46094	74696	0.15	-100	4.854394
44417	74702	0.19	-100	4.930389
44567	74708	0.22	-100	4.923655
43440	74693	0.26	-100	4.975651
42800	74685	0.3	-100	5.005801
42517	74705	0.34	-100	5.019923
41099	74700	0.38	-100	5.089191
39998	74728	0.42	-100	5.145518
38955	74692	0.46	-100	5.198595
38317	74694	0.5	-100	5.232438
37731	74700	0.54	-100	5.264137
37255	74695	0.58	-100	5.289977
36788	74722	0.62	-100	5.316527
36614	74701	0.65	-100	5.325652
36603	74700	0.69	-100	5.32624
36354	74677	0.73	-100	5.339576
36129	74692	0.77	-100	5.35269
35925	74688	0.81	-100	5.364167
35737	74690	0.85	-100	5.374957
35546	74689	0.89	-100	5.385895
35265	74712	0.93	-100	5.402764
35121	74727	0.97	-100	5.411547
34953	74731	1.01	-100	5.421467
34698	74714	1.05	-100	5.435984
34433	74719	1.08	-100	5.451808
34131	74686	1.12	-100	5.468929
33941	74718	1.17	-100	5.481227
33766	74712	1.2	-100	5.49164
33613	74722	1.24	-100	5.501206
33544	74744	1.28	-100	5.506013
33416	74735	1.32	-100	5.513589
33139	74705	1.36	-100	5.5298
33069	74702	1.4	-100	5.534044
33012	74700	1.44	-100	5.537519
33050	74720	1.48	-100	5.535713
33013	74694	1.52	-100	5.537293
32954	74696	1.55	-100	5.541008
32809	74696	1.59	-100	5.55003
32543	74701	1.64	-100	5.566824
32325	74705	1.67	-100	5.580686
32265	74751	1.71	-100	5.585747
32047	74759	1.75	-100	5.599838
31787	74714	1.79	-100	5.615274
31567	74702	1.83	-100	5.629155
31422	74709	1.87	-100	5.638767
31292	74706	1.91	-100	5.647168
31155	74699	1.95	-100	5.655954
30980	74714	1.99	-100	5.66789
30797	74696	2.02	-100	5.67952
30647	74701	2.07	-100	5.689647
30529	74716	2.11	-100	5.697951
30427	74709	2.14	-100	5.704607
30341	74709	2.18	-100	5.710398
30289	74700	2.22	-100	5.713661
30288	74731	2.26	-100	5.714578
30272	74723	2.3	-100	5.71544
30301	74714	2.34	-100	5.713234
30385	74726	2.38	-100	5.707899
30463	74713	2.42	-100	5.702297
30552	74673	2.46	-100	5.695232
30727	74677	2.5	-100	5.683655
30850	74681	2.53	-100	5.675591
31022	74670	2.57	-100	5.663913
31192	74681	2.61	-100	5.653032
31459	74715	2.65	-100	5.636524
31705	74722	2.69	-100	5.620778
31979	74703	2.73	-100	5.602651
32229	74688	2.77	-100	5.586306
32479	74684	2.81	-100	5.570386
32868	74696	2.85	-100	5.546354
33240	74695	2.89	-100	5.523299
33622	74692	2.93	-100	5.499837
34016	74698	2.97	-100	5.476163
34396	74688	3	-100	5.453158
34814	74674	3.04	-100	5.428059
35300	74701	3.08	-100	5.400433
35803	74681	3.12	-100	5.370935
36313	74708	3.16	-100	5.342734
36796	74710	3.2	-100	5.315753
37333	74688	3.24	-100	5.285506
37970	74692	3.28	-100	5.250998
38632	74679	3.32	-100	5.215275
39196	74650	3.36	-100	5.184825
39812	74683	3.4	-100	5.153823
40494	74685	3.43	-100	5.119124
41244	74680	3.47	-100	5.081437
42017	74685	3.51	-100	5.04358
42747	74685	3.55	-100	5.008337
43508	74666	3.59	-100	4.971711
44255	74668	3.63	-100	4.936934
45089	74668	3.67	-100	4.898733
45977	74688	3.71	-100	4.859376
46830	74703	3.75	-100	4.822173
47763	74711	3.79	-100	4.782028
48715	74700	3.83	-100	4.741346
