CellLine	U937	CI1	RAMOS
TSPAN6	4	9	0
TNMD	0	0	0
DPM1	3480	4508	3691
SCYL3	962	971	889
C1orf112	2060	2573	1512
FGR	1764	9007	603
CFH	6	19	0
FUCA2	6105	2789	0
GCLC	4546	3766	1922
NFYA	7310	5221	2592
STPG1	221	419	370
NIPAL3	2083	2085	923
LAS1L	12027	13318	3909
ENPP4	4	1487	1578
SEMA3F	194	16	13
CFTR	3	6	0
ANKIB1	3150	4798	4473
CYP51A1	6908	5065	5572
KRIT1	4130	2940	4196
RAD52	763	1250	632
BAD	806	1598	781
LAP3	5728	15033	4532
CD99	13222	6954	667
HS3ST1	0	5	0
AOC1	1036	1	4
WNT16	0	13	6
HECW1	15	2	0
MAD1L1	9729	3139	1657
LASP1	14797	12860	7871
SNX11	912	2248	1084
TMEM176A	10	2	0
M6PR	13458	16243	6184
KLHL13	97	79	0
CYP26B1	3	4	0
ICA1	1510	173	3
DBNDD1	172	23	17
ALS2	1522	1043	510
CASP10	876	72	26
CFLAR	3084	5716	2707
TFPI	8	25	0
NDUFAF7	2087	2058	1524
RBM5	13907	12893	8047
MTMR7	112	111	88
SLC7A2	9	21	0
ARF5	4747	7297	8801
SARM1	321	2610	1221
POLDIP2	6628	13744	5822
PLXND1	14361	28	290
AK2	67212	31506	15569
CD38	898	6828	24732
FKBP4	11753	27370	4549
KDM1A	11991	13910	5841
RBM6	12313	12275	9408
CAMKK1	967	88	1
RECQL	3982	8114	3733
VPS50	1186	2372	1420
HSPB6	115	5	34
ARHGAP33	2872	1960	1722
NDUFAB1	6368	7996	3065
PDK4	1	8	0
SLC22A16	807	0	0
ZMYND10	215	118	77
ABCB5	0	0	0
ARX	33	1	0
SLC25A13	2034	2259	1983
ST7	748	1511	341
CDC27	4396	9565	5995
SLC4A1	4	0	0
CALCR	0	0	0
HCCS	2177	3274	1207
DVL2	2294	5244	1561
PRSS22	2	9	0
UPF1	9790	16895	5506
SKAP2	5653	4548	3808
SLC25A5	54669	64750	30642
MCUB	590	6402	3996
HOXA11	3916	119	9
POLR2J	2866	5507	6459
DHX33	3459	11966	1806
MEOX1	1	0	0
THSD7A	9	1	1
LIG3	3237	5171	2190
RPAP3	2424	4007	3851
ACSM3	1297	74	128
REXO5	1692	721	867
CIAPIN1	4261	6390	2152
SPPL2B	6371	6835	3814
FAM214B	520	427	267
COPZ2	1	4	89
PRKAR2B	940	2029	41679
MSL3	3684	4511	2728
CREBBP	3833	7312	2951
TSPOAP1	81	803	131
MPO	50	76	0
PON1	0	0	0
GCFC2	624	401	1455
WDR54	1275	3535	1950
CROT	1	393	1014
ABCB4	0	23	14
KMT2E	5322	6875	3915
RHBDD2	1468	1942	1833
SOX8	0	28	0
IBTK	3986	4678	3599
ZNF195	2603	4235	4507
MYCBP2	21798	22110	11616
FBXL3	2239	2957	7841
ITGAL	4379	14130	11719
PDK2	681	1067	851
ITGA3	852	1444	474
ZFX	2295	4012	1537
LAMP2	33174	4312	3591
ITGA2B	19	12	2
ASB4	2	3	0
GDE1	4385	3333	2708
REX1BD	1937	2348	701
CRLF1	122	349	127
OSBPL7	1441	2602	1168
TMEM98	2	10	0
YBX2	15	3	0
KRT33A	0	0	0
MAP3K14	419	3957	956
ABCC8	5	5	0
CACNG3	0	0	0
TMEM132A	7	58	168
AP2B1	11967	13368	4579
TAC1	0	0	0
ZNF263	2270	5730	2640
CX3CL1	1	8	0
SPATA20	1970	2600	576
CACNA1G	5	4	0
TNFRSF12A	290	80	42
DLX6	15	4	0
MAP3K9	687	626	678
RALA	3680	3503	3800
BAIAP2L1	430	44	49
KDM7A	1272	193	629
ETV1	21	4	0
AGK	1759	2204	767
ALDH3B1	7134	44	29
TTC22	1	5	11
PHTF2	1617	4057	10271
CCL26	0	0	0
FARP2	515	5453	2690
USH1C	0	7	0
GGCT	7692	8088	9666
DBF4	3974	5410	10991
TBXA2R	946	0	0
IFRD1	4772	1971	11181
LGALS14	0	93	0
COX10	1261	3103	462
GTF2IRD1	375	20	0
PAF1	3499	7146	3501
VPS41	4534	5091	1040
ARHGAP44	6	293	31
ELAC2	6301	14991	2077
SCIN	1	6	0
ARSD	2265	2	0
PNPLA4	3	3	472
MYH13	0	0	0
ADIPOR2	5768	10051	7091
CDKL3	51	39	45
UPP2	2	0	0
PRSS21	0	6	0
MARK4	1929	1788	1071
PROM1	2	48	1
CCDC124	4861	13498	1991
CEACAM21	181	357	534
PAFAH1B1	5206	11550	2995
NOS2	6	1	0
DNAH9	1	1	0
KIAA0100	15208	26054	7473
SLC13A2	0	0	0
GAS7	12272	619	0
TRAPPC6A	2716	1632	2406
MATK	0	5	0
CEACAM7	1	0	0
CD79B	22	12657	37980
SCN4A	15	37	776
ST7L	1583	300	349
TKTL1	0	9	1
PAX6	13	10	0
RPUSD1	1732	7210	1129
RHBDF1	36	23	6
LUC7L	2764	4019	1880
CACNA2D2	63	23	32
BAIAP3	37	51	36
TSR3	1451	4658	900
PIGQ	1235	2683	591
CRAMP1	3188	3866	1831
TEAD3	562	46	0
SELE	0	0	0
DNAJC11	8708	6207	2393
FMO3	0	0	6
MYLIP	3063	536	910
NOX1	4	8	7
E2F2	1279	6737	11309
PSMB1	13510	14853	10785
SYN1	1	3	0
JARID2	5828	1635	1740
CDKL5	411	4	155
CAMK1G	0	1	0
CDK11A	3322	5984	2717
NADK	8465	9234	9332
TFAP2B	0	1	0
TFAP2D	0	0	0
DLEC1	17	29	15
CYTH3	4109	162	77
ADAM22	1846	1097	888
SYPL1	8832	9061	18314
CYB561	10	120	94
SPAG9	6654	6711	4198
CELSR3	1158	1091	526
AASS	11	1	0
PLEKHG6	3	29	0
SS18L2	1773	3317	3575
MPND	807	1284	1085
MGST1	6384	36	2345
CRY1	1356	9	0
PGLYRP1	5	13	5
NFIX	1845	51	50
ST3GAL1	6056	1547	153
MMP25	952	32	35
IL32	16102	64	0
PKD1	6018	11289	1828
MAPK8IP2	397	196	46
MED24	5195	9575	3104
RHOBTB2	2644	3683	2028
HEATR5B	3894	3981	1445
SEC62	5315	15025	27603
RPS20	57793	57174	86004
CSDE1	47566	42759	23584
UBE3C	5900	10241	4581
REV3L	1927	4744	3093
TENM1	2	11	5
PAX7	0	0	0
MASP2	204	211	62
IYD	0	0	0
FAM76A	588	884	609
TRAF3IP3	4720	6471	1619
POMT2	1128	1563	674
VTA1	4424	5107	4036
MLXIPL	24	4	0
BAZ1B	14294	23569	14324
RANBP9	2471	2743	5293
ETV7	2	12	0
SPRTN	988	1237	1506
EEF1AKNMT	4537	5728	1269
DYRK4	1129	769	411
ZNF207	13563	27426	16380
UQCRC1	23506	18361	5907
STARD3NL	2707	2637	1826
CD9	123	93	6
HHATL	2	0	0
NCAPD2	19701	41034	15450
IFFO1	1821	3204	2068
GIPR	652	600	581
PHF7	1844	439	717
SEMA3G	1096	4	0
NISCH	7428	7417	2845
STAB1	3	1	0
FUZ	7	1012	879
SLC6A13	0	4	0
IDS	3171	16063	5270
PRSS3	4	1	0
ZNF200	880	1903	1012
CD4	14357	8	2
LRRC23	435	129	799
BTK	14073	15996	6763
HFE	1	160	2
SCMH1	5808	3897	2502
FYN	928	4821	4285
HIVEP2	1966	3195	4218
FMO1	1	41	69
ELOA	2148	7594	1575
LYPLA2	4775	5201	2759
CLCN6	4009	3310	2429
MRC2	18569	42	0
NME1-NME2	1823	3688	1563
SLC6A7	1	0	0
TSPAN9	289	25	31
BTBD7	2128	3338	1320
APBA3	1259	1430	586
MKS1	905	1103	223
ABHD5	960	967	282
ANOS1	19	1	0
AKAP8L	6289	6095	3922
MBTD1	3014	2195	3847
UTP18	4931	9529	3796
RNF216	6163	6039	2983
TTC19	3773	4344	1064
PTBP1	32489	45578	16683
DPF1	409	912	176
SYT7	55	6	0
LARS2	3755	7866	961
PIK3C2A	2256	2689	2713
PLAUR	2091	16	19
ANLN	7947	4545	3172
WIZ	2263	4946	1471
RABGAP1	1932	4538	1920
DCN	1	4	0
QPCTL	2502	1534	2368
PPP5C	7756	14027	5646
CEP68	1269	1757	1953
MAP4K3	870	571	893
ZBTB32	13	4800	28
TYROBP	1050	1	0
TMEM159	1522	2010	604
GABRA3	1	2	0
BRCA1	4680	12484	4803
ERCC1	5610	2246	2843
CD22	224	38077	33100
SEMA3B	29	23	5
MBTPS2	2475	1516	507
PRICKLE3	823	998	229
LTF	3	0	0
EXTL3	2736	2587	1175
NR1H4	0	0	0
ELOVL5	18619	11548	12726
ALOX5	15	6	3988
KDM5D	2	10	0
CALCOCO1	2183	1173	376
UBR7	5061	8194	4042
MAP4K5	1434	4512	2192
EHD3	4	1274	7
PSMC4	5641	10709	4154
MAN2B2	7748	1954	1806
SLC7A14	0	2	0
CLDN11	1	8	12
SLC25A39	5818	17933	7254
MVP	606	5645	218
NUB1	4928	6111	6350
PGM3	3368	1539	3811
RWDD2A	390	126	1036
CLK1	5887	3271	6532
POLR3B	758	2724	731
ANGEL1	3515	4252	1405
RNF14	1992	2330	1852
DNASE1L1	1496	989	1308
DDX11	5149	11220	5904
HEBP1	2699	8	121
GPRC5A	39	138	0
MAMLD1	518	3	0
CD6	12	25	0
TACC3	11184	22082	23656
UFL1	4044	3209	4542
POLA2	2848	9164	3989
ZC3H3	2936	1917	895
CAPN1	6698	12753	2788
ACP3	249	9	0
MDH1	22227	17821	15589
SLC30A9	4245	2720	4379
MTMR11	237	12	0
COX15	5512	6780	3301
CCDC88C	3523	7748	9723
YAF2	949	1894	1349
ZMYND11	3359	3502	366
WAS	7895	8306	4448
