gene	TotalNum	TotalPat	FLNum	FLPat	DHLNum	DHLPat	rank
IGH	423	6	85	6	338	6	1
BCL2	310	6	67	6	243	6	2
IGL	213	6	59	5	154	6	3
IMMP2L	204	6	61	5	143	6	4
FHIT	149	6	58	5	91	5	5
BCL6	89	6	17	3	72	6	6
BCL7A	79	5	11	3	68	5	7
DIAPH2	100	5	35	2	65	5	8
CIITA	56	6	4	3	52	5	9
BACH2	66	5	18	3	48	5	10
ROBO2	68	6	26	5	42	5	11
IGK	55	4	13	3	42	4	12
PAX5	43	6	4	3	39	6	13
RHOH	43	5	5	3	38	5	14
DMD	72	6	34	3	38	6	15
GRID2	75	6	39	6	36	5	16
DTX1	38	5	3	2	35	5	17
LPP	59	5	25	5	34	5	18
BCL6-SE	35	6	7	2	28	5	19
IRF8	32	5	6	2	26	5	20
ST6GAL1	36	5	11	4	25	5	21
CXCR4	24	4	1	1	23	4	22
BTG2	28	5	5	2	23	5	23
ZCCHC7	27	6	5	4	22	6	24
MYO16	41	6	19	5	22	4	25
S1PR2	22	5	2	1	20	5	26
PALM2AKAP2	24	6	7	3	17	6	27
PIM1	18	4	2	2	16	4	28
NCOA3	22	5	6	2	16	5	29
FOXO1	22	6	8	4	14	4	30
SGK1	14	5	1	1	13	5	31
SEL1L3	16	5	3	2	13	5	32
OSBPL10	19	6	6	3	13	4	33
MYC	19	5	6	2	13	5	34
BLK	19	5	6	3	13	5	35
WNK2	13	4	1	1	12	4	36
MSH6-SE	17	5	5	4	12	5	37
MIR3681HG	20	6	8	4	12	6	38
KLHL1	25	5	13	4	12	4	39
ETS1	18	5	6	4	12	3	40
CFAP251	18	6	6	5	12	6	41
SUGCT	23	4	12	3	11	4	42
MIR142	13	4	2	2	11	3	43
TCL1A	12	6	2	2	10	6	44
LHPP	12	5	2	2	10	5	45
UHRF2	11	5	2	2	9	4	46
RFTN1	19	6	10	3	9	6	47
MYO1E	15	5	7	4	8	3	48
IL4R	10	3	2	1	8	2	49
BIRC3	9	4	1	1	8	4	50
VMP1	12	5	5	3	7	4	51
RUBCNL	9	4	2	2	7	3	52
MCPH1	10	4	3	2	7	3	53
POU2AF1	8	3	2	2	6	3	54
LTB	7	4	1	1	6	3	55
IKZF3	8	6	2	2	6	5	56
CD83	7	5	1	1	6	4	57
MYBL1	7	5	2	2	5	4	58
BTG1	7	2	2	1	5	2	59
BMP7	10	3	5	1	5	3	60
