gene	TotalNum	TotalPat	FLNum	FLPat	DHLNum	DHLPat	rank
IGH	423	6	85	6	338	6	1
BCL2	306	6	65	5	241	6	2
IGL	213	6	59	5	154	6	3
IMMP2L	204	6	61	5	143	6	4
FHIT	150	6	59	5	91	5	5
BCL7A	92	6	14	5	78	6	6
BCL6	89	6	17	3	72	6	7
DIAPH2	100	5	35	2	65	5	8
BACH2	67	5	19	3	48	5	9
ROBO2	68	6	26	5	42	5	10
IGK	55	4	13	3	42	4	11
PAX5	43	6	4	3	39	6	12
RHOH	43	5	5	3	38	5	13
DMD	72	6	34	3	38	6	14
GRID2	77	6	41	6	36	5	15
DTX1	38	5	3	2	35	5	16
LPP	59	5	25	5	34	5	17
BCL6-SE	35	6	7	2	28	5	18
IRF8	32	5	6	2	26	5	19
ST6GAL1	37	5	12	4	25	5	20
CXCR4	24	4	1	1	23	4	21
BTG2	28	5	5	2	23	5	22
ZCCHC7	27	6	5	4	22	6	23
MYO16	41	6	19	5	22	4	24
S1PR2	22	5	2	1	20	5	25
LHPP	22	5	2	2	20	5	26
PIM1	18	4	2	2	16	4	27
NCOA3	22	5	6	2	16	5	28
FOXO1	22	6	8	4	14	4	29
SGK1	14	5	1	1	13	5	30
SEL1L3	16	5	3	2	13	5	31
OSBPL10	19	6	6	3	13	4	32
MYC	19	5	6	2	13	5	33
BLK	19	5	6	3	13	5	34
MIR3681HG	20	6	8	4	12	6	35
KLHL1	25	5	13	4	12	4	36
ETS1	18	5	6	4	12	3	37
MIR142	14	5	3	3	11	3	38
TCL1A	12	6	2	2	10	6	39
UHRF2	12	5	3	2	9	4	40
RFTN1	19	6	10	3	9	6	41
IL4R	10	3	2	1	8	2	42
BIRC3	9	4	1	1	8	4	43
MCPH1	10	4	3	2	7	3	44
POU2AF1	8	3	2	2	6	3	45
LTB	7	4	1	1	6	3	46
BTG1	8	3	3	2	5	2	47
BMP7	10	3	5	1	5	3	48
