Sample	Cancer	PAX5	ZCCHC7	Type
SJBALL000013_D1	BALL	270.481	29.8421	WT
SJBALL001653_D1	TALL	0.1423	12.8905	WT
SJBALL001675_D1	TALL	0.3085	13.6659	WT
SJBALL001733_D1	BALL	37.6295	64.1334	Fusion
SJBALL001782_D1	TALL	0.2225	6.3487	WT
SJBALL001793_D1	BALL	32.0149	217.1183	WT
SJBALL002236_D1	BALL	22.327	53.8928	WT
SJBALL002373_D1	TALL	0.1325	12.1813	WT
SJBALL010_D	BALL	32.5602	112.471	WT
SJBALL011_D	BALL	18.7469	30.458	WT
SJBALL013786_D1	BALL	37.5535	174.3802	Fusion
SJBALL013789_D1	BALL	81.5155	135.3262	WT
SJBALL013790_D1	BALL	38.1558	62.538	WT
SJBALL013791_D1	BALL	33.081	105.3034	WT
SJBALL013793_D1	BALL	61.2648	134.9762	WT
SJBALL013799_D1	BALL	6.9216	20.9079	WT
SJBALL013799_R1	BALL	13.7692	54.5164	WT
SJBALL015_D	BALL	120.539	73.427	WT
SJBALL020012_D1	BALL	41.4557	34.0399	WT
SJBALL020013_D1	BALL	34.419	33.0939	WT
SJBALL020013_D2	BALL	40.5205	53.3113	WT
SJBALL020014_D1	BALL	65.2796	22.3701	WT
SJBALL020015_D1	BALL	48.9013	56.3154	WT
SJBALL020015_D2	BALL	42.2329	54.273	WT
SJBALL020016_C1	BALL	66.5491	67.2045	WT
SJBALL020069_D1	BALL	41.2999	58.7735	WT
SJBALL020073_D1	BALL	24.3209	56.3986	WT
SJBALL020077_D1	BALL	31.0326	68.8153	WT
SJBALL020081_D1	BALL	29.6213	74.4871	WT
SJBALL020084_D1	BALL	60.1217	80.6237	WT
SJBALL020087_D1	BALL	26.5224	113.36	WT
SJBALL020091_D1	BALL	92.837	39.4502	WT
SJBALL020098_D1	BALL	90.7329	38.9414	WT
SJBALL020100_D1	BALL	65.5079	105.357	WT
SJBALL020101_D1	BALL	216.111	130.003	WT
SJBALL020106_D1	BALL	53.7951	58.4134	WT
SJBALL020111_D1	BALL	54.0156	83.8189	WT
SJBALL020113_D1	BALL	57.0448	23.1605	WT
SJBALL020122_D1	BALL	109.578	58.8643	WT
SJBALL020125_D1	BALL	36.7172	173.232	WT
SJBALL020138_D1	BALL	58.5923	79.8691	WT
SJBALL020140_D1	BALL	27.3134	18.6215	WT
SJBALL020141_D1	BALL	66.3188	102.197	WT
SJBALL020142_D1	BALL	59.1247	98.5794	WT
SJBALL020145_D1	BALL	41.7327	35.5641	WT
SJBALL020151_D1	BALL	21.8587	13.2151	WT
SJBALL020336_D2	BALL	80.6049	217.5908	WT
SJBALL020337_D2	BALL	32.5679	40.0263	WT
SJBALL020339_D2	BALL	64.4264	69.7134	WT
SJBALL020340_D1	BALL	113.804	96.7719	WT
SJBALL020374_D1	BALL	71.8096	57.464	WT
SJBALL020382_D2	BALL	47.8891	118.6231	WT
SJBALL020383_D1	BALL	55.2162	41.6536	WT
SJBALL020409_D2	BALL	40.1624	31.2534	WT
SJBALL020424_D2	BALL	64.7161	19.1914	WT
SJBALL020455_D2	BALL	13.7816	41.3002	WT
SJBALL020460_D2	BALL	11.947	38.1069	WT
SJBALL020469_D1	BALL	64.9214	95.9086	WT
SJBALL020476_D2	BALL	35.7945	76.5218	WT
SJBALL020483_D2	BALL	13.2475	32.4087	WT
SJBALL020486_D2	BALL	54.1312	32.351	Fusion
SJBALL020487_D2	BALL	39.7816	26.8474	WT
SJBALL020488_D1	BALL	28.7875	30.7527	WT
SJBALL020490_D2	BALL	35.6867	39.9692	WT
SJBALL020492_D2	BALL	10.8399	25.2309	WT
SJBALL020513_D2	BALL	71.842	45.3379	Fusion
SJBALL020518_D1	BALL	23.9347	70.2778	WT
SJBALL020520_D2	BALL	61.9431	88.5859	WT
SJBALL020524_D2	BALL	34.2849	55.1022	WT
SJBALL020530_D2	BALL	62.2748	42.9904	Fusion
SJBALL020570_D1	BALL	28.394	28.8225	WT
SJBALL020571_D2	BALL	15.4141	38.5047	WT
SJBALL020579_D1	BALL	76.0958	27.8697	WT
SJBALL020579_D2	BALL	88.8748	43.8653	WT
SJBALL020579_R1	BALL	7.3333	17.6836	WT
SJBALL020587_D2	BALL	17.7038	25.5509	WT
SJBALL020589_D1	BALL	52.6023	34.7881	Fusion
SJBALL020595_D1	BALL	66.0884	103.202	WT
SJBALL020596_D2	BALL	31.9372	82.6866	WT
SJBALL020609_D1	BALL	37.1998	80.0526	WT
SJBALL020625_D1	BALL	31.4463	28.2944	WT
SJBALL020628_D2	BALL	33.3904	50.3437	WT
SJBALL020633_D2	BALL	11.2317	88.3135	WT
SJBALL020649_D1	BALL	45.2206	46.7195	WT
SJBALL020659_D2	BALL	75.1255	30.337	WT
SJBALL020665_D2	BALL	23.8191	29.4828	WT
SJBALL020681_D1	BALL	41.8957	28.9261	WT
SJBALL020689_D2	BALL	84.6204	159.988	WT
SJBALL020697_D2	BALL	43.0816	91.4408	WT
SJBALL020700_D1	BALL	26.3059	68.6833	WT
SJBALL020704_D1	BALL	17.9888	19.4855	WT
SJBALL020706_D2	BALL	81.0895	91.9865	WT
SJBALL020710_D2	BALL	19.1703	34.7981	Fusion
SJBALL020720_D2	BALL	6.2839	97.3529	WT
SJBALL020732_D2	BALL	22.8124	36.9175	WT
SJBALL020765_D1	BALL	18.5563	47.5739	WT
SJBALL020779_D2	BALL	18.6983	75.1476	WT
SJBALL020789_D1	BALL	55.3644	50.2514	WT
SJBALL020795_D2	BALL	67.0724	71.8348	WT
SJBALL020807_D1	BALL	55.8429	65.7346	WT
SJBALL020811_D1	BALL	17.8449	26.9189	WT
SJBALL020812_D1	BALL	38.6349	46.6152	WT
SJBALL020824_D1	BALL	25.587	36.0393	WT
SJBALL020824_D2	BALL	31.949	41.0827	WT
SJBALL020828_D1	BALL	74.8003	65.973	WT
SJBALL020829_D2	BALL	110.0051	61.3257	WT
SJBALL020832_D1	BALL	31.2145	46.5656	WT
SJBALL020836_D1	BALL	220.266	96.4797	WT
SJBALL020852_D1	BALL	14.6669	55.2162	WT
SJBALL020852_D2	BALL	17.6105	79.6189	WT
SJBALL020853_D1	BALL	20.8079	51.1292	WT
SJBALL020877_D1	BALL	23.5779	45.2683	WT
SJBALL020880_D2	BALL	64.6844	73.5633	WT
SJBALL020882_D1	BALL	12.5114	13.441	WT
SJBALL020916_D2	BALL	31.1746	47.9138	WT
SJBALL020931_D2	BALL	49.9191	107.5997	WT
SJBALL020936_D1	BALL	30.3403	39.7328	WT
SJBALL020939_D1	BALL	41.1795	33.6693	WT
SJBALL020941_D1	BALL	42.2269	49.4859	WT
SJBALL020946_D2	BALL	23.0107	32.2337	WT
SJBALL020953_D1	BALL	26.2074	59.0392	WT
SJBALL020958_D1	BALL	22.1864	58.7735	WT
SJBALL020963_D1	BALL	38.9414	52.0539	WT
