chromosome	start	end	strand	gene_name	gene_type
chr1	11869	14409	+	DDX11L1	transcribed_unprocessed_pseudogene
chr1	14404	29570	-	WASH7P	unprocessed_pseudogene
chr1	17369	17436	-	MIR6859-1	miRNA
chr1	29554	31109	+	MIR1302-2HG	lncRNA
chr1	30366	30503	+	MIR1302-2	miRNA
chr1	34554	36081	-	FAM138A	lncRNA
chr1	52473	53312	+	OR4G4P	unprocessed_pseudogene
chr1	57598	64116	+	OR4G11P	transcribed_unprocessed_pseudogene
chr1	65419	71585	+	OR4F5	protein_coding
chr1	89295	133723	-	ENSG00000238009	lncRNA
chr1	89551	91105	-	ENSG00000239945	lncRNA
chr1	131025	134836	+	CICP27	processed_pseudogene
chr1	135141	135895	-	ENSG00000268903	processed_pseudogene
chr1	137682	137965	-	ENSG00000269981	processed_pseudogene
chr1	139790	140339	-	ENSG00000239906	lncRNA
chr1	141474	173862	-	ENSG00000241860	lncRNA
chr1	157784	157887	-	RNU6-1100P	snRNA
chr1	160446	161525	+	ENSG00000241599	lncRNA
chr1	182696	184174	+	DDX11L17	unprocessed_pseudogene
chr1	185217	195411	-	WASH9P	unprocessed_pseudogene
chr1	187891	187958	-	MIR6859-2	miRNA
chr1	257864	359681	-	ENSG00000228463	transcribed_processed_pseudogene
chr1	266855	268655	+	ENSG00000286448	lncRNA
chr1	347982	348366	-	RPL23AP24	processed_pseudogene
chr1	358857	366052	+	ENSG00000236601	lncRNA
chr1	365389	522928	-	ENSG00000237094	transcribed_unprocessed_pseudogene
chr1	439870	440232	+	WBP1LP7	processed_pseudogene
chr1	450740	451678	-	OR4F29	protein_coding
chr1	487101	489906	+	CICP7	processed_pseudogene
chr1	491225	493241	-	ENSG00000250575	unprocessed_pseudogene
chr1	516376	516479	-	U6	snRNA
chr1	586071	827796	-	ENSG00000230021	transcribed_processed_pseudogene
chr1	587629	594768	+	ENSG00000235146	lncRNA
chr1	629062	629433	+	MTND1P23	unprocessed_pseudogene
chr1	629640	630683	+	MTND2P28	unprocessed_pseudogene
chr1	631074	632616	+	MTCO1P12	unprocessed_pseudogene
chr1	632325	632413	-	ENSG00000278791	miRNA
chr1	632757	633438	+	MTCO2P12	unprocessed_pseudogene
chr1	633535	633741	+	MTATP8P1	unprocessed_pseudogene
chr1	633696	634376	+	MTATP6P1	unprocessed_pseudogene
chr1	634376	634922	+	MTCO3P12	unprocessed_pseudogene
chr1	674842	675265	+	WBP1LP6	processed_pseudogene
chr1	685716	686654	-	OR4F16	protein_coding
chr1	722092	724903	+	CICP3	processed_pseudogene
chr1	725885	778669	-	ENSG00000228327	transcribed_unprocessed_pseudogene
chr1	758233	758336	-	RNU6-1199P	snRNA
chr1	760911	761989	+	ENSG00000229905	lncRNA
chr1	778747	810065	+	LINC01409	lncRNA
chr1	781937	782050	+	ENSG00000285268	transcribed_processed_pseudogene
