chromosome	start	end	strand	gene_type	gene_name
chr1	11869	14409	+	transcribed_unprocessed_pseudogene	DDX11L1
chr1	14404	29570	-	unprocessed_pseudogene	WASH7P
chr1	17369	17436	-	miRNA	MIR6859-1
chr1	29554	31109	+	lncRNA	MIR1302-2HG
chr1	30366	30503	+	miRNA	MIR1302-2
chr1	34554	36081	-	lncRNA	FAM138A
chr1	52473	53312	+	unprocessed_pseudogene	OR4G4P
chr1	57598	64116	+	transcribed_unprocessed_pseudogene	OR4G11P
chr1	65419	71585	+	protein_coding	OR4F5
chr1	89295	133723	-	lncRNA	ENSG00000238009
chr1	89551	91105	-	lncRNA	ENSG00000239945
chr1	131025	134836	+	processed_pseudogene	CICP27
chr1	135141	135895	-	processed_pseudogene	ENSG00000268903
chr1	137682	137965	-	processed_pseudogene	ENSG00000269981
chr1	139790	140339	-	lncRNA	ENSG00000239906
chr1	141474	173862	-	lncRNA	ENSG00000241860
chr1	157784	157887	-	snRNA	RNU6-1100P
chr1	160446	161525	+	lncRNA	ENSG00000241599
chr1	182696	184174	+	unprocessed_pseudogene	DDX11L17
chr1	185217	195411	-	unprocessed_pseudogene	WASH9P
chr1	187891	187958	-	miRNA	MIR6859-2
chr1	257864	359681	-	transcribed_processed_pseudogene	ENSG00000228463
chr1	266855	268655	+	lncRNA	ENSG00000286448
chr1	347982	348366	-	processed_pseudogene	RPL23AP24
chr1	358857	366052	+	lncRNA	ENSG00000236601
chr1	365389	522928	-	transcribed_unprocessed_pseudogene	ENSG00000237094
chr1	439870	440232	+	processed_pseudogene	WBP1LP7
chr1	450740	451678	-	protein_coding	OR4F29
chr1	487101	489906	+	processed_pseudogene	CICP7
chr1	491225	493241	-	unprocessed_pseudogene	ENSG00000250575
chr1	516376	516479	-	snRNA	U6
chr1	586071	827796	-	transcribed_processed_pseudogene	ENSG00000230021
chr1	587629	594768	+	lncRNA	ENSG00000235146
chr1	629062	629433	+	unprocessed_pseudogene	MTND1P23
chr1	629640	630683	+	unprocessed_pseudogene	MTND2P28
chr1	631074	632616	+	unprocessed_pseudogene	MTCO1P12
chr1	632325	632413	-	miRNA	ENSG00000278791
chr1	632757	633438	+	unprocessed_pseudogene	MTCO2P12
chr1	633535	633741	+	unprocessed_pseudogene	MTATP8P1
chr1	633696	634376	+	unprocessed_pseudogene	MTATP6P1
chr1	634376	634922	+	unprocessed_pseudogene	MTCO3P12
chr1	674842	675265	+	processed_pseudogene	WBP1LP6
chr1	685716	686654	-	protein_coding	OR4F16
chr1	722092	724903	+	processed_pseudogene	CICP3
chr1	725885	778669	-	transcribed_unprocessed_pseudogene	ENSG00000228327
chr1	758233	758336	-	snRNA	RNU6-1199P
chr1	760911	761989	+	lncRNA	ENSG00000229905
chr1	778747	810065	+	lncRNA	LINC01409
chr1	781937	782050	+	transcribed_processed_pseudogene	ENSG00000285268
chr1	800879	817712	-	transcribed_unprocessed_pseudogene	ENSG00000230092
chr1	817371	819837	+	lncRNA	FAM87B
chr1	825138	859446	+	lncRNA	LINC01128
chr1	826206	827522	-	lncRNA	LINC00115
chr1	860226	868202	+	lncRNA	ENSG00000288531
chr1	868071	876903	-	lncRNA	FAM41C
chr1	873292	874349	+	unprocessed_pseudogene	TUBB8P11
chr1	874529	877234	-	transcribed_unprocessed_pseudogene	ENSG00000283040
chr1	904834	915976	+	lncRNA	ENSG00000272438
chr1	911435	914948	+	lncRNA	ENSG00000230699
chr1	914171	914971	+	lncRNA	ENSG00000241180
chr1	916865	921016	-	lncRNA	LINC02593
chr1	923923	944575	+	protein_coding	SAMD11
chr1	944203	959309	-	protein_coding	NOC2L
chr1	960584	965719	+	protein_coding	KLHL17
chr1	966482	975865	+	protein_coding	PLEKHN1
chr1	975198	982117	-	protein_coding	PERM1
chr1	995966	998051	-	lncRNA	ENSG00000272512
chr1	998962	1000172	-	protein_coding	HES4
chr1	1001138	1014540	+	protein_coding	ISG15
chr1	1008076	1008229	-	processed_pseudogene	ENSG00000231702
chr1	1011997	1013193	-	lncRNA	ENSG00000224969
chr1	1020120	1056118	+	protein_coding	AGRN
chr1	1055033	1056116	+	lncRNA	ENSG00000242590
chr1	1059687	1069355	+	transcribed_unprocessed_pseudogene	ENSG00000217801
chr1	1062208	1063288	-	lncRNA	ENSG00000273443
chr1	1070967	1074306	-	protein_coding	RNF223
chr1	1081818	1116361	-	protein_coding	C1orf159
chr1	1097585	1104598	+	lncRNA	ENSG00000285812
chr1	1137017	1144056	+	lncRNA	LINC01342
chr1	1167104	1167198	+	miRNA	MIR200B
chr1	1167863	1167952	+	miRNA	MIR200A
chr1	1169005	1169087	+	miRNA	MIR429
chr1	1169357	1170343	+	lncRNA	ENSG00000272141
chr1	1173056	1179555	-	lncRNA	TTLL10-AS1
chr1	1173880	1197936	+	protein_coding	TTLL10
chr1	1203508	1206592	-	protein_coding	TNFRSF18
chr1	1211340	1214153	-	protein_coding	TNFRSF4
chr1	1216909	1232067	-	protein_coding	SDF4
chr1	1232237	1235041	+	protein_coding	B3GALT6
chr1	1242446	1246722	-	protein_coding	C1QTNF12
chr1	1249777	1251334	-	lncRNA	ENSG00000260179
chr1	1253909	1273864	-	protein_coding	UBE2J2
chr1	1275223	1280420	+	lncRNA	LINC01786
chr1	1280436	1292029	+	protein_coding	SCNN1D
chr1	1292390	1309609	-	protein_coding	ACAP3
chr1	1296110	1296170	-	miRNA	MIR6726
chr1	1308597	1311677	+	protein_coding	PUSL1
chr1	1311585	1324687	-	protein_coding	INTS11
chr1	1312502	1312566	-	miRNA	MIR6727
chr1	1317581	1318689	-	lncRNA	ENSG00000240731
chr1	1324756	1328896	+	protein_coding	CPTP
chr1	1331280	1335314	+	protein_coding	TAS1R3
chr1	1335276	1349418	-	protein_coding	DVL1
chr1	1339650	1339708	-	miRNA	MIR6808
chr1	1352689	1361777	-	protein_coding	MXRA8
chr1	1373730	1375207	-	protein_coding	AURKAIP1
chr1	1378666	1379032	+	processed_pseudogene	NDUFB4P8
chr1	1385711	1399335	-	protein_coding	CCNL2
chr1	1399515	1402046	+	lncRNA	MRPL20-AS1
chr1	1401909	1407293	-	protein_coding	MRPL20
chr1	1405460	1405752	-	misc_RNA	RN7SL657P
chr1	1409096	1410618	+	lncRNA	MRPL20-DT
chr1	1418420	1421769	-	protein_coding	ANKRD65
chr1	1420245	1422691	+	lncRNA	ANKRD65-AS1
chr1	1425871	1430255	+	protein_coding	TMEM88B
chr1	1430539	1434573	-	lncRNA	LINC01770
chr1	1434861	1442882	+	protein_coding	VWA1
chr1	1449689	1470163	+	protein_coding	ATAD3C
chr1	1471765	1497848	+	protein_coding	ATAD3B
chr1	1503250	1509466	+	transcribed_unprocessed_pseudogene	ENSG00000284740
chr1	1512162	1534685	+	protein_coding	ATAD3A
chr1	1534778	1540624	-	protein_coding	TMEM240
chr1	1541673	1574863	-	protein_coding	SSU72
chr1	1574102	1577075	+	lncRNA	ENSG00000215014
chr1	1583510	1583909	-	processed_pseudogene	ENSG00000274481
chr1	1598012	1600135	-	protein_coding	FNDC10
chr1	1600314	1602703	+	lncRNA	ENSG00000286989
chr1	1613758	1615795	-	lncRNA	ENSG00000272106
chr1	1615454	1630605	+	protein_coding	MIB2
chr1	1632163	1635263	+	protein_coding	MMP23B
chr1	1635225	1659012	-	protein_coding	CDK11B
chr1	1659325	1662602	+	lncRNA	ENSG00000272004
chr1	1659529	1692795	-	protein_coding	SLC35E2B
chr1	1671990	1674397	+	transcribed_processed_pseudogene	ENSG00000269737
chr1	1699942	1701782	+	unprocessed_pseudogene	MMP23A
chr1	1702379	1724357	-	protein_coding	CDK11A
chr1	1702736	1737688	-	lncRNA	ENSG00000268575
chr1	1724512	1737251	+	transcribed_processed_pseudogene	ENSG00000227775
chr1	1724838	1745992	-	transcribed_unprocessed_pseudogene	SLC35E2A
chr1	1751232	1780457	-	protein_coding	NADK
chr1	1785285	1891117	-	protein_coding	GNB1
chr1	1891223	1892726	+	lncRNA	GNB1-DT
chr1	1915108	1917296	+	protein_coding	CALML6
chr1	1917590	1919279	-	protein_coding	TMEM52
chr1	1921951	2003837	-	protein_coding	CFAP74
chr1	2013213	2015639	-	lncRNA	ENSG00000233542
chr1	2019329	2030758	+	protein_coding	GABRD
chr1	2049203	2050070	-	lncRNA	PRKCZ-DT
chr1	2050411	2185395	+	protein_coding	PRKCZ
chr1	2141084	2145279	-	lncRNA	ENSG00000271806
chr1	2181794	2184389	-	lncRNA	PRKCZ-AS1
chr1	2184461	2212720	-	protein_coding	FAAP20
chr1	2212523	2220738	+	lncRNA	ENSG00000234396
