BIN_id	chr	start	end	NumRecordsAll	NumR_FL	NumR_DHL	NumPatientsAll	NumP_FL	NumP_DHL	gene	Enhancer	Histone
CRE_18_21107	chr18	2637356004	63321000	214	66	148	8	6	8	BCL2	H3K27ac|chr18:63309998-63323764,SE|chr18:63306906-63323923	Both|chr18:63310017-63320072,Both|chr18:63320140-63323764
CRE_14_35288	chr14	2297268311	105864000	184	63	121	8	6	8	IGH	H3K27ac|chr14:105860293-105864174,SE|chr14:105835348-105864431	Both|chr14:105860346-105864045
CRE_3_62582	chr3	678892952	187746000	87	20	67	7	4	7	BCL6	H3K27ac|chr3:187731270-187751435,SE|chr3:187719794-187751605	Both|chr3:187734556-187748073
CRE_18_21106	chr18	2637353004	63318000	80	24	56	6	4	6	BCL2	H3K27ac|chr18:63309998-63323764,SE|chr18:63306906-63323923	Both|chr18:63310017-63320072
CRE_14_35216	chr14	2297052311	105648000	56	5	51	5	2	4	IGH	H3K27ac|chr14:105645673-105646537	Only_27ac_9822
CRE_18_21047	chr18	2637176004	63141000	54	16	38	6	4	6	BCL2	H3K27ac|chr18:63126078-63164642,SE|chr18:63125791-63175947	Both|chr18:63136190-63141030
CRE_14_35287	chr14	2297265311	105861000	56	23	33	7	3	7	IGH	H3K27ac|chr14:105860293-105864174,SE|chr14:105835348-105864431	Both|chr14:105860346-105864045,Only_27ac_9862
CRE_12_40674	chr12	2065786674	122022000	53	13	40	6	4	6		H3K27ac|chr12:122017939-122033248,SE|chr12:121968384-122083322	Both|chr12:122018122-122022307
CRE_14_35201	chr14	2297007311	105603000	49	1	48	5	1	5	IGH,IGHE	H3K27ac|chr14:105598900-105603062,SE|chr14:105557350-105645336	Both|chr14:105599066-105603062
CRE_16_3627	chr16	2411320218	10881000	46	2	44	6	2	5	LOC105371080	H3K27ac|chr16:10876039-10882531,SE|chr16:10867831-10897678	Both|chr16:10876428-10880940
CRE_14_35202	chr14	2297010311	105606000	42	7	35	5	2	4	IGH	SE|chr14:105557350-105645336	
CRE_6_30099	chr6	1151492325	90297000	45	14	31	5	2	4	BACH2	H3K27ac|chr6:90282736-90296914,SE|chr6:90249579-90321732	Both|chr6:90287599-90296914
CRE_12_40675	chr12	2065789674	122025000	41	10	31	6	4	5	BCL7A	H3K27ac|chr12:122017939-122033248,SE|chr12:121968384-122083322	Both|chr12:122018122-122022307,Both|chr12:122022414-122025398
CRE_18_21108	chr18	2637359004	63324000	44	20	24	7	3	7		H3K27ac|chr18:63309998-63323764,SE|chr18:63306906-63323923	Both|chr18:63320140-63323764
CRE_2_45373	chr2	385072423	136119000	32	6	26	5	2	5	CXCR4	H3K27ac|chr2:136106079-136119249,SE|chr2:136105955-136140835	Both|chr2:136113374-136119249
CRE_9_12342	chr9	1573512913	37027000	30	1	29	6	1	6	PAX5	H3K27ac|chr9:37022634-37027624,SE|chr9:36988295-37089453	Both|chr9:37022754-37027624
CRE_3_62648	chr3	679090952	187944000	29	4	25	5	1	5		H3K27ac|chr3:187912524-187985294,SE|chr3:187889317-188007563	Both|chr3:187941135-187948029
CRE_2_29620	chr2	337813423	88860000	31	17	14	3	2	3	IGK	H3K27ac|chr2:88828014-88865492,SE|chr2:88827870-88871762	Both|chr2:88854481-88863031
CRE_12_37686	chr12	2056822674	113058000	27	1	26	3	1	3	DTX1	H3K27ac|chr12:113048852-113093387,SE|chr12:113048478-113137014	Both|chr12:113054917-113066215
CRE_1_67769	chr1	203304001	203307000	28	7	21	6	3	5	BTG2	H3K27ac|chr1:203279843-203314077,SE|chr1:203267149-203342076	Both|chr1:203302565-203310770
CRE_14_35424	chr14	2297676311	106272000	25	6	19	2	1	2	IGH	H3K27ac|chr14:106262864-106271033	Both|chr14:106266050-106270719
CRE_2_29622	chr2	337819423	88866000	24	1	23	1	1	1	IGK	H3K27ac|chr2:88828014-88865492,SE|chr2:88827870-88871762	Both|chr2:88863091-88865492
CRE_16_28634	chr16	2486341218	85902000	25	3	22	6	2	6	IRF8	H3K27ac|chr16:85899150-85914779,SE|chr16:85898770-85950393	Both|chr16:85899150-85907486
CRE_6_12391	chr6	1098368325	37173000	23	1	22	3	1	3	PIM1	H3K27ac|chr6:37170113-37178149,SE|chr6:37092383-37183606	Both|chr6:37170113-37175660
CRE_18_21048	chr18	2637179004	63144000	21	14	7	5	3	4	BCL2	H3K27ac|chr18:63126078-63164642,SE|chr18:63125791-63175947	Both|chr18:63141184-63149811
CRE_4_13400	chr4	729642511	40200000	19	1	18	4	1	4	RHOH	H3K27ac|chr4:40176037-40218892,SE|chr4:40149801-40318028	Both|chr4:40189312-40207868
CRE_22_7461	chr22	2846563055	22383000	18	1	17	3	1	2	IGL	H3K27ac|chr22:22377947-22380555,H3K27ac|chr22:22380641-22382299,SE|chr22:22352120-22405506	Both|chr22:22379510-22380543,Both|chr22:22380654-22381171,Only_27ac_20861
CRE_3_62747	chr3	679387952	188241000	16	2	14	6	2	4	LPP	H3K27ac|chr3:188232929-188248302,SE|chr3:188232625-188248439	Both|chr3:188239172-188242638
CRE_22_7630	chr22	2847070055	22890000	16	8	8	2	1	1	IGLL5	H3K27ac|chr22:22877573-22900242,SE|chr22:22848569-22956505	Both|chr22:22884180-22897526
CRE_22_7367	chr22	2846281055	22101000	16	0	16	1	0	1	IGL	H3K27ac|chr22:22097733-22100814	Only_27ac_20827
CRE_22_7344	chr22	2846212055	22032000	22	10	12	3	1	3	PRAMENP	H3K27ac|chr22:22024670-22048311,SE|chr22:22024840-22062131	Both|chr22:22030255-22033374
CRE_19_3411	chr19	2664641289	10233000	16	3	13	6	2	6	S1PR2	H3K27ac|chr19:10224349-10250535,SE|chr19:10218700-10250666	Both|chr19:10228240-10232300
