Type	Chromosome	Position	Position_offset	-log10(q-value)	G-score	average_amplitude	frequency
Amp	 1	1	1	0.000000	0	0	0
Amp	 1	10750	10750	0.000000	0	0	0
Amp	 1	10751	10751	0.000000	0.159146	0.506329	0.125000
Amp	 1	1373690	1373690	0.000000	0.159146	0.506329	0.125000
Amp	 1	1373691	1373691	0.060675	0.323585	0.514750	0.250000
Amp	 1	1482028	1482028	0.060675	0.323585	0.514750	0.250000
Amp	 1	1482029	1482029	0.000000	0.164439	0.523171	0.125000
Amp	 1	1638385	1638385	0.000000	0.164439	0.523171	0.125000
Amp	 1	1638386	1638386	0.335334	0.512980	0.915266	0.250000
Amp	 1	1917771	1917771	0.335334	0.512980	0.915266	0.250000
Amp	 1	1917772	1917772	0.087839	0.348541	1.307360	0.125000
Amp	 1	1919065	1919065	0.087839	0.348541	1.307360	0.125000
Amp	 1	1919066	1919066	0.000000	0.000000	0.000000	0.000000
Amp	 1	2630043	2630043	0.000000	0.000000	0.000000	0.000000
Amp	 1	2630044	2630044	1.057143	1.084665	3.656854	0.125000
Amp	 1	2783498	2783498	1.057143	1.084665	3.656854	0.125000
Amp	 1	2783499	2783499	0.000000	0.000000	0.000000	0.000000
Amp	 1	6519317	6519317	0.000000	0.000000	0.000000	0.000000
Amp	 1	6519318	6519318	0.469123	0.643027	2.075717	0.125000
Amp	 1	6544951	6544951	0.469123	0.643027	2.075717	0.125000
Amp	 1	6544952	6544952	0.750352	0.833579	1.474389	0.250000
Amp	 1	6636020	6636020	0.750352	0.833579	1.474389	0.250000
Amp	 1	6636021	6636021	0.000000	0.190553	0.873060	0.125000
Amp	 1	6639792	6639792	0.000000	0.190553	0.873060	0.125000
Amp	 1	6639793	6639793	0.000000	0.000000	0.000000	0.000000
Amp	 1	8365702	8365702	0.000000	0.000000	0.000000	0.000000
Amp	 1	8365703	8365703	0.000000	0.190360	0.673788	0.125000
Amp	 1	8366482	8366482	0.000000	0.190360	0.673788	0.125000
Amp	 1	8366483	8366483	0.442426	0.617576	1.149902	0.250000
Amp	 1	8466534	8466534	0.442426	0.617576	1.149902	0.250000
Amp	 1	8466535	8466535	0.797196	0.930738	1.108681	0.375000
Amp	 1	9104308	9104308	0.797196	0.930738	1.108681	0.375000
Amp	 1	9104309	9104309	0.442426	0.617576	1.149902	0.250000
Amp	 1	9129536	9129536	0.442426	0.617576	1.149902	0.250000
Amp	 1	9129537	9129537	0.000000	0.190360	0.673788	0.125000
Amp	 1	9368070	9368070	0.000000	0.190360	0.673788	0.125000
Amp	 1	9368071	9368071	0.427779	0.606829	0.845063	0.375000
Amp	 1	9871855	9871855	0.427779	0.606829	0.845063	0.375000
Amp	 1	9871856	9871856	0.157961	0.416469	0.930700	0.250000
Amp	 1	10072723	10072723	0.157961	0.416469	0.930700	0.250000
Amp	 1	10072724	10072724	0.000000	0.249989	1.062159	0.125000
Amp	 1	10095367	10095367	0.000000	0.249989	1.062159	0.125000
Amp	 1	10095368	10095368	0.000000	0.000000	0.000000	0.000000
Amp	 1	13613546	13613546	0.000000	0.000000	0.000000	0.000000
Amp	 1	13613547	13613547	0.000000	0.150328	0.478275	0.125000
Amp	 1	13616468	13616468	0.000000	0.150328	0.478275	0.125000
Amp	 1	13616469	13616469	0.442426	0.626452	0.996543	0.250000
Amp	 1	13787080	13787080	0.442426	0.626452	0.996543	0.250000
Amp	 1	13787081	13787081	0.000000	0.150328	0.478275	0.125000
Amp	 1	13816316	13816316	0.000000	0.150328	0.478275	0.125000
Amp	 1	13816317	13816317	0.000000	0.000000	0.000000	0.000000
Amp	 1	15528996	15528996	0.000000	0.000000	0.000000	0.000000
Amp	 1	15528997	15528997	0.044629	0.304093	1.057558	0.125000
Amp	 1	15656465	15656465	0.044629	0.304093	1.057558	0.125000
Amp	 1	15656466	15656466	0.000000	0.000000	0.000000	0.000000
Amp	 1	16198476	16198476	0.000000	0.000000	0.000000	0.000000
Amp	 1	16198477	16198477	0.000000	0.151604	0.482336	0.125000
Amp	 1	16459504	16459504	0.000000	0.151604	0.482336	0.125000
Amp	 1	16459505	16459505	0.060675	0.327312	0.520679	0.250000
Amp	 1	16921888	16921888	0.060675	0.327312	0.520679	0.250000
Amp	 1	16921889	16921889	0.000000	0.175708	0.559022	0.125000
Amp	 1	16950803	16950803	0.000000	0.175708	0.559022	0.125000
Amp	 1	16950804	16950804	0.000000	0.000000	0.000000	0.000000
Amp	 1	20728561	20728561	0.000000	0.000000	0.000000	0.000000
Amp	 1	20728562	20728562	0.000000	0.176334	0.561014	0.125000
Amp	 1	21219844	21219844	0.000000	0.176334	0.561014	0.125000
Amp	 1	21219845	21219845	0.000000	0.000000	0.000000	0.000000
Amp	 1	21703405	21703405	0.000000	0.000000	0.000000	0.000000
Amp	 1	21703406	21703406	0.000000	0.125938	0.400678	0.125000
Amp	 1	21812334	21812334	0.000000	0.125938	0.400678	0.125000
Amp	 1	21812335	21812335	0.000000	0.000000	0.000000	0.000000
Amp	 1	23518913	23518913	0.000000	0.000000	0.000000	0.000000
Amp	 1	23518914	23518914	0.060855	0.337211	0.863726	0.250000
Amp	 1	23980783	23980783	0.060855	0.337211	0.863726	0.250000
Amp	 1	23980784	23980784	0.000000	0.000000	0.654599	0.125000
Amp	 1	24532972	24532972	0.000000	0.000000	0.654599	0.125000
Amp	 1	24532973	24532973	0.020774	0.295550	0.797453	0.250000
Amp	 1	25498153	25498153	0.020774	0.295550	0.797453	0.250000
Amp	 1	25498154	25498154	0.000000	0.000000	0.654599	0.125000
Amp	 1	30715046	30715046	0.000000	0.000000	0.654599	0.125000
Amp	 1	30715047	30715047	0.000000	0.136986	0.702634	0.125000
Amp	 1	30715798	30715798	0.000000	0.136986	0.702634	0.125000
Amp	 1	30715799	30715799	0.166843	0.435248	0.825784	0.250000
Amp	 1	30716692	30716692	0.166843	0.435248	0.825784	0.250000
Amp	 1	30716693	30716693	0.469123	0.637131	0.764623	0.375000
Amp	 1	31060085	31060085	0.469123	0.637131	0.764623	0.375000
Amp	 1	31060086	31060086	0.166843	0.435248	0.825784	0.250000
Amp	 1	31181739	31181739	0.166843	0.435248	0.825784	0.250000
Amp	 1	31181740	31181740	0.000000	0.136986	0.702634	0.125000
Amp	 1	31337064	31337064	0.000000	0.136986	0.702634	0.125000
Amp	 1	31337065	31337065	0.000000	0.000000	0.000000	0.000000
Amp	 1	31757771	31757771	0.000000	0.000000	0.000000	0.000000
Amp	 1	31757772	31757772	0.000000	0.127342	0.422073	0.125000
Amp	 1	32221003	32221003	0.000000	0.127342	0.422073	0.125000
Amp	 1	32221004	32221004	0.060675	0.328746	0.654455	0.375000
Amp	 1	32362542	32362542	0.060675	0.328746	0.654455	0.375000
Amp	 1	32362543	32362543	0.000000	0.201405	0.770646	0.250000
Amp	 1	32363484	32363484	0.000000	0.201405	0.770646	0.250000
Amp	 1	32363485	32363485	0.000000	0.000000	0.530710	0.125000
Amp	 1	42683125	42683125	0.000000	0.000000	0.530710	0.125000
Amp	 1	42683126	42683126	0.000000	0.140817	0.448017	0.125000
Amp	 1	43181424	43181424	0.000000	0.140817	0.448017	0.125000
Amp	 1	43181425	43181425	0.000000	0.000000	0.000000	0.000000
Amp	 1	44650579	44650579	0.000000	0.000000	0.000000	0.000000
Amp	 1	44650580	44650580	0.060675	0.325821	1.403448	0.125000
Amp	 1	44674201	44674201	0.060675	0.325821	1.403448	0.125000
Amp	 1	44674202	44674202	0.498025	0.679371	1.345956	0.250000
Amp	 1	44803485	44803485	0.498025	0.679371	1.345956	0.250000
Amp	 1	44803486	44803486	0.087839	0.353550	1.288464	0.125000
Amp	 1	44822304	44822304	0.087839	0.353550	1.288464	0.125000
Amp	 1	44822305	44822305	0.000000	0.000000	0.000000	0.000000
Amp	 1	77926606	77926606	0.000000	0.000000	0.000000	0.000000
Amp	 1	77926607	77926607	0.060855	0.335233	1.066560	0.125000
Amp	 1	78081368	78081368	0.060855	0.335233	1.066560	0.125000
Amp	 1	78081369	78081369	0.000000	0.000000	0.000000	0.000000
Amp	 1	86580854	86580854	0.000000	0.000000	0.000000	0.000000
Amp	 1	86580855	86580855	0.000000	0.140793	0.447940	0.125000
Amp	 1	90020696	90020696	0.000000	0.140793	0.447940	0.125000
Amp	 1	90020697	90020697	0.000000	0.000000	0.000000	0.000000
Amp	 1	92297309	92297309	0.000000	0.000000	0.000000	0.000000
Amp	 1	92297310	92297310	0.000000	0.158373	0.588107	0.250000
Amp	 1	93529544	93529544	0.000000	0.158373	0.588107	0.250000
Amp	 1	93529545	93529545	0.000000	0.000000	0.000000	0.000000
Amp	 1	110340345	110340345	0.000000	0.000000	0.000000	0.000000
Amp	 1	110340346	110340346	0.306954	0.496648	1.580110	0.125000
Amp	 1	110408445	110408445	0.306954	0.496648	1.580110	0.125000
Amp	 1	110408446	110408446	0.000000	0.000000	0.000000	0.000000
Amp	 1	110605351	110605351	0.000000	0.000000	0.000000	0.000000
Amp	 1	110605352	110605352	0.122140	0.366140	0.582446	0.250000
Amp	 1	111697340	111697340	0.122140	0.366140	0.582446	0.250000
Amp	 1	111697341	111697341	0.000000	0.149254	0.474857	0.125000
