cytoband	9p13.2	12q15	6p22.2	4q31.3	11p15.4	12p12.1	17q25.1	1q23.1	1q44	2q22.1	6q25.3	7p21.3	
q value	8.8476e-08	0.00044229	0.00047368	0.00069853	0.0039462	0.0056547	0.0056848	0.0074173	0.0076987	0.0079886	0.0079886	0.0079886	
residual q value	8.8476e-08	0.00044229	0.00047368	0.00069853	0.0039462	0.0056547	0.0056848	0.0074173	0.0076987	0.0079886	0.0079886	0.0079886	
wide peak boundaries	chr9:37005357-37424720	chr12:68739806-68847944	chr6:26098743-26295188	chr4:153351017-153646306	chr11:9566250-9790144	chr12:24892493-25123086	chr17:75224963-75480456	chr1:157505764-157851992	chr1:244826993-244980194	chr2:135898966-136433836	chr6:158699237-159199877	chr7:7586085-8165871	
genes in wide peak	PAX5	MDM2	HIST1H1D	KIAA0922	WEE1	BCAT1	GRB2	CD5L	HNRNPU	DARS	EZR	ICA1	
	GRHPR	SLC35E3	HIST1H1E	MND1	SWAP70	LRMP	TMEM94	FCRL2	EFCAB2	CXCR4	RSPH3	RPA3	
	ZCCHC7	NUP107	HIST1H1T	LOC100419170	SBF2	CASC1	GGA3	FCRL5	COX20	DARS-AS1	FNDC1	MIOS	
	EBLN3P	LOC100130075	HIST1H2AE		SBF2-AS1	C12orf77	MRPS7	FCRL4	LOC101928068		SYTL3	GLCCI1	
			HIST1H2AD		LOC440028	LOC645177	MIF4GD	FCRL1	SNORA100		TAGAP	UMAD1	
			HIST1H2BD				SLC25A19	FCRL3			OSTCP1	LOC100505921	
			HIST1H2AC				NUP85				C6orf99		
			HIST1H2BG				LOC100287042				MIR3918		
			HIST1H2BF				MIR3678				EZR-AS1		
			HIST1H2BE								LOC101929122		
			HIST1H2BH										
			HIST1H2BI										
			HIST1H2BC										
			HIST1H3D										
			HIST1H3E										
			HIST1H3G										
			HIST1H4D										
			HIST1H4F										
			HIST1H4C										
			HIST1H4H										
			HIST1H4E										
			HIST1H4G										
			HIST1H3F										
