Gene Symbol	Gene ID	Cytoband	P2_LG	P6_LG	P7_LG	P8_LG	P1_LG	P4_LG	P5_LG	P9_LG	P8_2_LG
DDX11L1	100287102	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR6859-1|chr1	102466751	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR6859-2|chr1	102465909	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR6859-3|chr1	102465910	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
WASH7P	653635	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR1302-10|chr1	100422834	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR1302-11|chr1	100422919	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR1302-2|chr1	100302278	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR1302-9|chr1	100422831	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
FAM138A|chr1	645520	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
FAM138C|chr1	654835	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
OR4F5	79501	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
LOC729737	729737	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
FAM138D|chr1	677784	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
OR4F16|chr1	81399	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
OR4F29|chr1	729759	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
LOC100132062|chr1	100132062	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
LOC101928626	101928626	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
MIR6723	102465432	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
LOC100133331	100133331	1p36.33	0.086	-0.030	0.151	0.035	0.018	-0.242	0.049	0.170	-0.377
