chr	start	end	strand	locus	gene	part
chr14	105583731	105588395	-	IgH (C)	IGHA2	transcript
chr14	105597691	105601728	-	IgH (C)	IGHE	transcript
chr14	105620506	105626066	-	IgH (C)	IGHG4	transcript
chr14	105639559	105644790	-	IgH (C)	IGHG2	transcript
chr14	105703995	105708665	-	IgH (C)	IGHA1	transcript
chr14	105736343	105743071	-	IgH (C)	IGHG1	transcript
chr14	105764503	105771405	-	IgH (C)	IGHG3	transcript
chr14	105836765	105845677	-	IgH (C)	IGHD	transcript
chr14	105851705	105856218	-	IgH (C)	IGHM	transcript
chr14	105863198	105863258	-	IgH (J)	IGHJ6	transcript
chr14	105863814	105863862	-	IgH (J)	IGHJ5	transcript
chr14	105864215	105864260	-	IgH (J)	IGHJ4	transcript
chr14	105864587	105864635	-	IgH (J)	IGHJ3	transcript
chr14	105865199	105865250	-	IgH (J)	IGHJ2	transcript
chr14	105865407	105865458	-	IgH (J)	IGHJ1	transcript
chr14	105881034	105881053	-	IgH (D)	IGHD1-26	transcript
chr14	105881539	105881556	-	IgH (D)	IGHD6-25	transcript
chr14	105883903	105883922	-	IgH (D)	IGHD5-24	transcript
chr14	105884870	105884888	-	IgH (D)	IGHD4-23	transcript
chr14	105886031	105886061	-	IgH (D)	IGHD3-22	transcript
chr14	105888551	105888578	-	IgH (D)	IGHD2-21	transcript
chr14	105891191	105891207	-	IgH (D)	IGHD1-20	transcript
chr14	105891699	105891719	-	IgH (D)	IGHD6-19	transcript
chr14	105893542	105893561	-	IgH (D)	IGHD5-18	transcript
chr14	105894508	105894523	-	IgH (D)	IGHD4-17	transcript
chr14	105895634	105895670	-	IgH (D)	IGHD3-16	transcript
chr14	105897957	105897987	-	IgH (D)	IGHD2-15	transcript
chr14	105900638	105900654	-	IgH (D)	IGHD1-14	transcript
chr14	105901142	105901162	-	IgH (D)	IGHD6-13	transcript
chr14	105902649	105902671	-	IgH (D)	IGHD5-12	transcript
chr14	105903616	105903631	-	IgH (D)	IGHD4-11	transcript
chr14	105904497	105904527	-	IgH (D)	IGHD3-10	transcript
chr14	105904681	105904711	-	IgH (D)	IGHD3-9	transcript
chr14	105907211	105907241	-	IgH (D)	IGHD2-8	transcript
chr14	105909907	105909923	-	IgH (D)	IGHD1-7	transcript
chr14	105910410	105910427	-	IgH (D)	IGHD6-6	transcript
chr14	105912257	105912276	-	IgH (D)	IGHD5-5	transcript
chr14	105913222	105913237	-	IgH (D)	IGHD4-4	transcript
chr14	105914359	105914389	-	IgH (D)	IGHD3-3	transcript
chr14	105916826	105916856	-	IgH (D)	IGHD2-2	transcript
chr14	105919502	105919518	-	IgH (D)	IGHD1-1	transcript
chr14	105939756	105940253	-	IgH (V)	IGHV6-1	transcript
chr14	105986582	105987083	-	IgH (V)	IGHV1-2	transcript
chr14	106005095	106005574	-	IgH (V)	IGHV1-3	transcript
chr14	106011922	106012420	-	IgH (V)	IGHV4-4	transcript
chr14	106025145	106025630	-	IgH (V)	IGHV7-4-1	transcript
chr14	106037902	106038365	-	IgH (V)	IGHV2-5	transcript
chr14	106062151	106062683	-	IgH (V)	IGHV3-7	transcript
chr14	106088122	106088573	-	IgH (V)	IGHV3-64D	transcript
chr14	106107972	106108464	-	IgH (V)	IGHV5-10-1	transcript
chr14	106116635	106117204	-	IgH (V)	IGHV3-11	transcript
chr14	106129540	106130072	-	IgH (V)	IGHV3-13	transcript
chr14	106153624	106154163	-	IgH (V)	IGHV3-15	transcript
chr14	106165205	106165730	-	IgH (V)	IGHV3-16	transcript
chr14	106184901	106185394	-	IgH (V)	IGHV1-18	transcript
chr14	106210936	106211453	-	IgH (V)	IGHV3-20	transcript
chr14	106235064	106235594	-	IgH (V)	IGHV3-21	transcript
chr14	106268606	106269140	-	IgH (V)	IGHV3-23	transcript
chr14	106276548	106277043	-	IgH (V)	IGHV1-24	transcript
chr14	106301396	106301862	-	IgH (V)	IGHV2-26	transcript
chr14	106324254	106324760	-	IgH (V)	IGHV4-28	transcript
chr14	106335082	106335613	-	IgH (V)	IGHV3-30	transcript
chr14	106349283	106349792	-	IgH (V)	IGHV4-31	transcript
chr14	106359793	106360324	-	IgH (V)	IGHV3-33	transcript
chr14	106373663	106374145	-	IgH (V)	IGHV4-34	transcript
chr14	106389392	106389858	-	IgH (V)	IGHV3-35	transcript
chr14	106410493	106411021	-	IgH (V)	IGHV3-38	transcript
chr14	106421711	106422218	-	IgH (V)	IGHV4-39	transcript
chr14	106470264	106470800	-	IgH (V)	IGHV3-43	transcript
chr14	106506996	106507491	-	IgH (V)	IGHV1-45	transcript
chr14	106511117	106511856	-	IgH (V)	IGHV1-46	transcript
chr14	106537810	106538344	-	IgH (V)	IGHV3-48	transcript
chr14	106556936	106557477	-	IgH (V)	IGHV3-49	transcript
chr14	106578744	106579236	-	IgH (V)	IGHV5-51	transcript
