Type	Chromosome	Position	Position_offset	-log10(q-value)	G-score	average_amplitude	frequency
Amp	 1	1	1	-0.000000	0	0	0
Amp	 1	10750	10750	-0.000000	0	0	0
Amp	 1	10751	10751	-0.000000	0.000000	0.000000	0.000000
Amp	 1	1657100	1657100	-0.000000	0.000000	0.000000	0.000000
Amp	 1	1657101	1657101	-0.000000	0.141999	0.552141	0.125000
Amp	 1	1761780	1761780	-0.000000	0.141999	0.552141	0.125000
Amp	 1	1761781	1761781	-0.000000	0.000000	0.000000	0.000000
Amp	 1	2401987	2401987	-0.000000	0.000000	0.000000	0.000000
Amp	 1	2401988	2401988	-0.000000	0.143771	0.457413	0.125000
Amp	 1	2630043	2630043	-0.000000	0.143771	0.457413	0.125000
Amp	 1	2630044	2630044	0.887625	0.619394	1.045227	0.250000
Amp	 1	2783498	2783498	0.887625	0.619394	1.045227	0.250000
Amp	 1	2783499	2783499	-0.000000	0.143771	0.457413	0.125000
Amp	 1	3752371	3752371	-0.000000	0.143771	0.457413	0.125000
Amp	 1	3752372	3752372	-0.000000	0.000000	0.000000	0.000000
Amp	 1	13224665	13224665	-0.000000	0.000000	0.000000	0.000000
Amp	 1	13224666	13224666	-0.000000	0.149809	0.476623	0.125000
Amp	 1	13306949	13306949	-0.000000	0.149809	0.476623	0.125000
Amp	 1	13306950	13306950	-0.000000	0.000000	0.000000	0.000000
Amp	 1	13616468	13616468	-0.000000	0.000000	0.000000	0.000000
Amp	 1	13616469	13616469	-0.000000	0.165052	0.525122	0.125000
Amp	 1	13816316	13816316	-0.000000	0.165052	0.525122	0.125000
Amp	 1	13816317	13816317	-0.000000	0.000000	0.000000	0.000000
Amp	 1	16458732	16458732	-0.000000	0.000000	0.000000	0.000000
Amp	 1	16458733	16458733	0.536842	0.377573	1.201739	0.125000
Amp	 1	16950803	16950803	0.536842	0.377573	1.201739	0.125000
Amp	 1	16950804	16950804	-0.000000	0.000000	0.000000	0.000000
Amp	 1	29325470	29325470	-0.000000	0.000000	0.000000	0.000000
Amp	 1	29325471	29325471	-0.000000	0.134122	0.426714	0.125000
Amp	 1	30758261	30758261	-0.000000	0.134122	0.426714	0.125000
Amp	 1	30758262	30758262	-0.000000	0.000000	0.000000	0.000000
Amp	 1	31619082	31619082	-0.000000	0.000000	0.000000	0.000000
Amp	 1	31619083	31619083	-0.000000	0.133048	0.423299	0.125000
Amp	 1	31792562	31792562	-0.000000	0.133048	0.423299	0.125000
Amp	 1	31792563	31792563	-0.000000	0.000000	0.000000	0.000000
Amp	 1	39764513	39764513	-0.000000	0.000000	0.000000	0.000000
Amp	 1	39764514	39764514	-0.000000	0.132706	0.484985	0.125000
Amp	 1	40769225	40769225	-0.000000	0.132706	0.484985	0.125000
Amp	 1	40769226	40769226	-0.000000	0.000000	0.000000	0.000000
Amp	 1	70189782	70189782	-0.000000	0.000000	0.000000	0.000000
Amp	 1	70189783	70189783	-0.000000	0.177914	0.566041	0.125000
Amp	 1	70354842	70354842	-0.000000	0.177914	0.566041	0.125000
Amp	 1	70354843	70354843	-0.000000	0.000000	0.000000	0.000000
Amp	 1	86580854	86580854	-0.000000	0.000000	0.000000	0.000000
Amp	 1	86580855	86580855	-0.000000	0.133430	0.424513	0.125000
Amp	 1	88892051	88892051	-0.000000	0.133430	0.424513	0.125000
Amp	 1	88892052	88892052	-0.000000	0.000000	0.000000	0.000000
Amp	 1	92297309	92297309	-0.000000	0.000000	0.000000	0.000000
Amp	 1	92297310	92297310	-0.000000	0.143988	0.458106	0.125000
Amp	 1	93500084	93500084	-0.000000	0.143988	0.458106	0.125000
Amp	 1	93500085	93500085	-0.000000	0.000000	0.000000	0.000000
Amp	 1	110060622	110060622	-0.000000	0.000000	0.000000	0.000000
Amp	 1	110060623	110060623	-0.000000	0.156043	0.568524	0.125000
Amp	 1	110340345	110340345	-0.000000	0.156043	0.568524	0.125000
Amp	 1	110340346	110340346	-0.000000	0.000000	0.000000	0.000000
Amp	 1	110605351	110605351	-0.000000	0.000000	0.000000	0.000000
Amp	 1	110605352	110605352	-0.000000	0.133284	0.471773	0.125000
Amp	 1	111766547	111766547	-0.000000	0.133284	0.471773	0.125000
Amp	 1	111766548	111766548	-0.000000	0.000000	0.000000	0.000000
Amp	 1	113981358	113981358	-0.000000	0.000000	0.000000	0.000000
Amp	 1	113981359	113981359	-0.000000	0.163702	0.520826	0.125000
Amp	 1	114268809	114268809	-0.000000	0.163702	0.520826	0.125000
Amp	 1	114268810	114268810	-0.000000	0.000000	0.000000	0.000000
Amp	 1	156705970	156705970	-0.000000	0.000000	0.000000	0.000000
Amp	 1	156705971	156705971	-0.000000	0.141910	0.451492	0.125000
Amp	 1	156816531	156816531	-0.000000	0.141910	0.451492	0.125000
Amp	 1	156816532	156816532	-0.000000	0.000000	0.000000	0.000000
Amp	 1	157519595	157519595	-0.000000	0.000000	0.000000	0.000000
Amp	 1	157519596	157519596	-0.000000	0.206728	0.657714	0.125000
Amp	 1	157842247	157842247	-0.000000	0.206728	0.657714	0.125000
Amp	 1	157842248	157842248	-0.000000	0.000000	0.000000	0.000000
Amp	 1	167129116	167129116	-0.000000	0.000000	0.000000	0.000000
Amp	 1	167129117	167129117	-0.000000	0.207063	0.666829	0.125000
Amp	 1	167772164	167772164	-0.000000	0.207063	0.666829	0.125000
Amp	 1	167772165	167772165	-0.000000	0.000000	0.000000	0.000000
Amp	 1	173943332	173943332	-0.000000	0.000000	0.000000	0.000000
Amp	 1	173943333	173943333	-0.000000	0.169862	0.656832	0.125000
Amp	 1	175023946	175023946	-0.000000	0.169862	0.656832	0.125000
Amp	 1	175023947	175023947	-0.000000	0.000000	0.000000	0.000000
Amp	 1	181221347	181221347	-0.000000	0.000000	0.000000	0.000000
Amp	 1	181221348	181221348	-0.000000	0.169430	0.539051	0.125000
Amp	 1	181798562	181798562	-0.000000	0.169430	0.539051	0.125000
Amp	 1	181798563	181798563	-0.000000	0.000000	0.000000	0.000000
Amp	 1	198523280	198523280	-0.000000	0.000000	0.000000	0.000000
Amp	 1	198523281	198523281	0.887625	0.484866	1.542623	0.125000
Amp	 1	198749321	198749321	0.887625	0.484866	1.542623	0.125000
Amp	 1	198749322	198749322	-0.000000	0.174793	0.556113	0.125000
Amp	 1	200589103	200589103	-0.000000	0.174793	0.556113	0.125000
Amp	 1	200589104	200589104	-0.000000	0.000000	0.000000	0.000000
Amp	 1	220024154	220024154	-0.000000	0.000000	0.000000	0.000000
Amp	 1	220024155	220024155	-0.000000	0.174886	0.604936	0.125000
Amp	 1	220141693	220141693	-0.000000	0.174886	0.604936	0.125000
Amp	 1	220141694	220141694	-0.000000	0.000000	0.000000	0.000000
Amp	 1	223788898	223788898	-0.000000	0.000000	0.000000	0.000000
Amp	 1	223788899	223788899	-0.000000	0.209795	0.698214	0.125000
Amp	 1	224378918	224378918	-0.000000	0.209795	0.698214	0.125000
Amp	 1	224378919	224378919	-0.000000	0.000000	0.000000	0.000000
Amp	 1	228273131	228273131	-0.000000	0.000000	0.000000	0.000000
Amp	 1	228273132	228273132	-0.000000	0.129755	0.417853	0.125000
Amp	 1	228413683	228413683	-0.000000	0.129755	0.417853	0.125000
Amp	 1	228413684	228413684	-0.000000	0.000000	0.000000	0.000000
Amp	 1	248945650	248945650	-0.000000	0.000000	0.000000	0.000000
Amp	 2	1	248945651	0.887625	0	0	0
Amp	 2	10500	248956150	0.887625	0	0	0
Amp	 2	10501	248956151	0.887625	0.466317	0.850590	0.125000
Amp	 2	23765407	272711057	0.887625	0.466317	0.850590	0.125000
Amp	 2	23765408	272711058	0.887625	0.593081	1.035916	0.250000
Amp	 2	24834684	273780334	0.887625	0.593081	1.035916	0.250000
Amp	 2	24834685	273780335	0.887625	0.466317	0.834263	0.250000
Amp	 2	31868266	280813916	0.887625	0.466317	0.834263	0.250000
Amp	 2	31868267	280813917	0.887625	0.663837	1.056015	0.250000
Amp	 2	33585236	282530886	0.887625	0.663837	1.056015	0.250000
Amp	 2	33585237	282530887	0.887625	0.466317	0.741805	0.250000
Amp	 2	36906138	285851788	0.887625	0.466317	0.741805	0.250000
Amp	 2	36906139	285851789	0.887625	0.685939	1.129432	0.250000
Amp	 2	37647096	286592746	0.887625	0.685939	1.129432	0.250000
Amp	 2	37647097	286592747	0.887625	0.466317	0.780062	0.250000
Amp	 2	47151148	296096798	0.887625	0.466317	0.780062	0.250000
Amp	 2	47151149	296096799	0.887625	0.644730	1.063877	0.250000
Amp	 2	48375951	297321601	0.887625	0.644730	1.063877	0.250000
Amp	 2	48375952	297321602	0.887625	0.466317	0.734958	0.250000
Amp	 2	60756327	309701977	0.887625	0.466317	0.734958	0.250000
Amp	 2	60756328	309701978	0.887625	0.626672	0.858312	0.375000
Amp	 2	61905569	310851219	0.887625	0.626672	0.858312	0.375000
Amp	 2	61905570	310851220	0.887625	0.466317	0.850590	0.125000
Amp	 2	65575785	314521435	0.887625	0.466317	0.850590	0.125000
Amp	 2	65575786	314521436	0.020904	0.267351	0.850590	0.125000
Amp	 2	66443556	315389206	0.020904	0.267351	0.850590	0.125000
