Rank	Pos	size	score	Enrichment	pvalue	MutNumber	Tumor
1	chr8:144094380-144096745	2365	1000	82.07243	1049.29370	0	DHL
10	chr7:112449489-112453091	3602	1000	49.79517	952.06549	0	DHL
100	chr7:127390233-127394051	3818	1000	50.48610	878.80066	0	DHL
1000	chr16:67841482-67848552	7070	1000	61.97840	747.92389	0	DHL
10000	chr11:111926217-111927022	805	1000	19.78132	271.71008	0	DHL
10001	chr16:56657183-56658691	1508	1000	30.74476	271.65558	0	DHL
10002	chr19:11338697-11340235	1538	1000	28.11365	271.62003	0	DHL
10003	chr17:45893863-45895940	2077	1000	29.87613	271.49219	0	DHL
10004	chr11:67630378-67631226	848	1000	35.06613	271.47354	0	DHL
10005	chr20:31879164-31880606	1442	1000	35.06613	271.47354	0	DHL
10006	chrX:132485783-132491716	5933	1000	35.06613	271.47354	1	DHL
10007	chr21:37220161-37221947	1786	1000	23.99791	271.38931	0	DHL
10008	chr17:35763943-35765284	1341	1000	30.65123	271.30173	0	DHL
10009	chr6:157980935-157982947	2012	1000	40.38253	271.29810	0	DHL
1001	chr22:50241258-50246375	5117	1000	61.97840	747.92389	0	DHL
10010	chr20:50730209-50731115	906	1000	26.19803	271.29562	0	DHL
10011	chr22:35891414-35895568	4154	1000	26.19803	271.29562	0	DHL
10012	chr17:39573095-39574406	1311	1000	32.39689	271.25180	0	DHL
10013	chr5:132746720-132748183	1463	1000	32.69906	271.22961	0	DHL
10014	chrX:110001979-110004094	2115	1000	43.94012	271.16684	0	DHL
10015	chr4:99894552-99895280	728	1000	42.96626	271.08316	0	DHL
10016	chr14:105314873-105316256	1383	1000	27.48856	270.99771	0	DHL
10017	chr10:133388266-133390646	2380	1000	29.44952	270.86096	0	DHL
10018	chr14:61694502-61695365	863	1000	26.52473	270.78204	0	DHL
10019	chr12:105329990-105332503	2513	1000	46.25327	270.77579	1	DHL
1002	chr1:37858214-37860724	2510	1000	65.77243	747.90698	0	DHL
10020	chrX:102719918-102721529	1611	1000	46.25327	270.77579	0	DHL
10021	chrX:154436935-154439032	2097	1000	46.25327	270.77579	0	DHL
10022	chr1:84620354-84621389	1035	1000	27.40312	270.62769	0	DHL
10023	chr19:50357133-50359521	2388	1000	24.97936	270.47467	0	DHL
10024	chr17:1225640-1230427	4787	1000	38.03593	270.42322	1	DHL
10025	chr3:138935572-138936675	1103	1000	29.03827	270.25946	0	DHL
10026	chr14:49976777-49980926	4149	1000	23.90870	269.96851	0	DHL
10027	chr11:44727132-44728347	1215	1000	44.90891	269.95190	0	DHL
10028	chr3:188752141-188755529	3388	1000	21.99112	269.94598	2	DHL
10029	chr4:1246873-1248789	1916	1000	34.91097	269.85538	0	DHL
1003	chr5:168577343-168580599	3256	1000	65.77243	747.90698	0	DHL
10030	chr1:151510310-151512359	2049	1000	26.09649	269.83078	0	DHL
10031	chr11:44603009-44606355	3346	1000	26.09649	269.83078	0	DHL
10032	chr11:47407164-47408458	1294	1000	26.09649	269.83078	0	DHL
10033	chr1:150148938-150152063	3125	1000	41.11159	269.75659	0	DHL
10034	chr2:230224170-230228846	4676	1000	26.73799	269.72812	0	DHL
10035	chr22:38569242-38570259	1017	1000	32.25844	269.67654	0	DHL
10036	chr6:28865505-28867468	1963	1000	32.55872	269.64935	0	DHL
10037	chr11:130068834-130069692	858	1000	36.61365	269.58469	0	DHL
10038	chr1:90850501-90852235	1734	1000	28.86827	269.57245	0	DHL
10039	chr12:44872708-44877363	4655	1000	28.86827	269.57245	0	DHL
1004	chr16:71460650-71463027	2377	1000	68.74862	747.90552	0	DHL
10040	chr14:23550519-23552282	1763	1000	28.86827	269.57245	0	DHL
10041	chr9:113349063-113351208	2145	1000	28.86827	269.57245	0	DHL
10042	chr10:45000268-45002345	2077	1000	27.37948	269.50833	0	DHL
10043	chr10:49761061-49762659	1598	1000	27.37948	269.50833	0	DHL
10044	chr5:154681975-154684342	2367	1000	19.98301	269.49179	0	DHL
10045	chr1:161529986-161531672	1686	1000	40.99633	269.44562	0	DHL
10046	chr8:11197060-11202340	5280	1000	43.72472	269.41858	0	DHL
10047	chr15:82047169-82048167	998	1000	37.64521	269.27017	0	DHL
10048	chrX:150568558-150569827	1269	1000	37.64521	269.27017	0	DHL
10049	chr1:11907922-11910085	2163	1000	24.88439	269.03369	0	DHL
1005	chr12:46264655-46271090	6435	1000	55.54388	747.79761	0	DHL
10050	chrX:48736441-48738469	2028	1000	46.02084	268.99573	0	DHL
10051	chr5:143431670-143436574	4904	1000	20.60036	268.94794	0	DHL
10052	chr5:1292627-1296975	4348	1000	32.66801	268.94318	0	DHL
10053	chr19:39823731-39825126	1395	1000	31.73013	268.86853	0	DHL
10054	chr2:96536317-96538108	1791	1000	37.86066	268.75928	0	DHL
10055	chr7:141701430-141702058	628	1000	36.33828	268.73969	0	DHL
10056	chr1:1657957-1660201	2244	1000	30.48856	268.56268	0	DHL
10057	chr8:102527554-102531322	3768	1000	21.28114	268.55884	0	DHL
10058	chr10:91162948-91165030	2082	1000	38.53528	268.41931	0	DHL
10059	chr16:1308143-1309486	1343	1000	38.53528	268.41931	0	DHL
1006	chr6:33198969-33202331	3362	1000	55.54388	747.79761	0	DHL
10060	chr22:23070456-23071425	969	1000	38.53528	268.41931	0	DHL
10061	chr5:76401469-76405746	4277	1000	25.99494	268.36761	0	DHL
10062	chr1:41240664-41242219	1555	1000	41.90498	268.31760	0	DHL
10063	chr10:68826809-68827791	982	1000	34.75581	268.23914	0	DHL
10064	chr13:32587117-32589978	2861	1000	34.75581	268.23914	0	DHL
10065	chr4:5706717-5709614	2897	1000	45.19539	268.22321	0	DHL
10066	chr7:6271118-6273242	2124	1000	45.19539	268.22321	0	DHL
10067	chr11:35661771-35664523	2752	1000	19.91457	268.16025	0	DHL
10068	chr21:42529363-42535982	6619	1000	27.53129	268.12503	0	DHL
10069	chr6:41545067-41546363	1296	1000	32.41838	268.07098	0	DHL
1007	chr17:42015308-42018732	3424	1000	58.39474	747.49182	0	DHL
10070	chr17:39056522-39058499	1977	1000	28.75044	268.05753	0	DHL
10071	chr3:112497191-112500005	2814	1000	28.75044	268.05753	0	DHL
10072	chr19:2059617-2062613	2996	1000	40.91488	268.04745	0	DHL
10073	chr17:7850063-7851943	1880	1000	28.14420	267.63629	0	DHL
10074	chrX:40093925-40099761	5836	1000	42.54911	267.61575	0	DHL
10075	chr1:198625937-198634481	8544	1000	24.78941	267.59436	1	DHL
10076	chr17:77034037-77038087	4050	1000	24.78941	267.59436	0	DHL
10077	chr22:31126574-31128928	2354	1000	24.78941	267.59436	0	DHL
10078	chr3:36907691-36909543	1852	1000	24.78941	267.59436	0	DHL
10079	chr1:8423819-8426205	2386	1000	30.50461	267.56238	0	DHL
1008	chr14:58295844-58300852	5008	1000	69.77792	747.41522	0	DHL
10080	chr3:195443241-195444119	878	1000	19.28983	267.53891	0	DHL
10081	chr1:225466619-225468575	1956	1000	24.97536	267.51764	0	DHL
10082	chr9:37139071-37147067	7996	1000	33.16930	267.39392	0	DHL
10083	chr11:119356145-119358264	2119	1000	32.52660	267.36279	0	DHL
10084	chr17:38255089-38257358	2269	1000	45.78841	267.21783	0	DHL
10085	chr1:207963029-207964288	1259	1000	26.85120	267.20529	0	DHL
10086	chr4:83109214-83111038	1824	1000	30.36045	267.01895	0	DHL
10087	chr17:60134012-60135798	1786	1000	29.50728	266.90051	0	DHL
10088	chr8:60875773-60877784	2011	1000	21.13727	266.78888	0	DHL
10089	chr4:184824686-184827076	2390	1000	38.35521	266.74719	0	DHL
