Type	Chromosome	Position	Position_offset	-log10(q-value)	G-score	average_amplitude	frequency
Amp	 1	1	1	0.000000	0	0	0
Amp	 1	10500	10500	0.000000	0	0	0
Amp	 1	10501	10501	0.000000	0.000000	0.000000	0.000000
Amp	 1	1490676	1490676	0.000000	0.000000	0.000000	0.000000
Amp	 1	1490677	1490677	0.000000	0	0	0
Amp	 1	1495475	1495475	0.000000	0	0	0
Amp	 1	1495476	1495476	0.000000	0.069413	0.524496	0.052632
Amp	 1	1519017	1519017	0.000000	0.069413	0.524496	0.052632
Amp	 1	1519018	1519018	0.000000	0	0	0
Amp	 1	1520130	1520130	0.000000	0	0	0
Amp	 1	1520131	1520131	0.000000	0.135196	0.699459	0.105263
Amp	 1	1916623	1916623	0.000000	0.135196	0.699459	0.105263
Amp	 1	1916624	1916624	0.000000	0	0	0
Amp	 1	1917871	1917871	0.000000	0	0	0
Amp	 1	1917872	1917872	0.000000	0.065783	0.874422	0.052632
Amp	 1	1918565	1918565	0.000000	0.065783	0.874422	0.052632
Amp	 1	1918566	1918566	0.000000	0	0	0
Amp	 1	1919065	1919065	0.000000	0	0	0
Amp	 1	1919066	1919066	0.000000	0.000000	0.000000	0.000000
Amp	 1	2388343	2388343	0.000000	0.000000	0.000000	0.000000
Amp	 1	2388344	2388344	0.000000	0	0	0
Amp	 1	2389899	2389899	0.000000	0	0	0
Amp	 1	2389900	2389900	0.000000	0.057890	0.437431	0.052632
Amp	 1	3733088	3733088	0.000000	0.057890	0.437431	0.052632
Amp	 1	3733089	3733089	0.000000	0	0	0
Amp	 1	3733588	3733588	0.000000	0	0	0
Amp	 1	3733589	3733589	0.000000	0.000000	0.000000	0.000000
Amp	 1	4051566	4051566	0.000000	0.000000	0.000000	0.000000
Amp	 1	4051567	4051567	0.000000	0.062327	0.470956	0.052632
Amp	 1	5947226	5947226	0.000000	0.062327	0.470956	0.052632
Amp	 1	5947227	5947227	0.000000	0	0	0
Amp	 1	5948059	5948059	0.000000	0	0	0
Amp	 1	5948060	5948060	0.000000	0.000000	0.000000	0.000000
Amp	 1	6518917	6518917	0.000000	0.000000	0.000000	0.000000
Amp	 1	6518918	6518918	0.566956	0	0	0
Amp	 1	6519417	6519417	0.566956	0	0	0
Amp	 1	6519418	6519418	0.566956	0.281186	2.219611	0.052632
Amp	 1	6541937	6541937	0.566956	0.281186	2.219611	0.052632
Amp	 1	6541938	6541938	0.679718	0	0	0
Amp	 1	6545051	6545051	0.679718	0	0	0
Amp	 1	6545052	6545052	0.679718	0.375709	1.466921	0.105263
Amp	 1	6636240	6636240	0.679718	0.375709	1.466921	0.105263
Amp	 1	6636241	6636241	0.000000	0	0	0
Amp	 1	6637187	6637187	0.000000	0	0	0
Amp	 1	6637188	6637188	0.000000	0.094523	0.714230	0.052632
Amp	 1	6638389	6638389	0.000000	0.094523	0.714230	0.052632
Amp	 1	6638390	6638390	0.000000	0	0	0
Amp	 1	6639892	6639892	0.000000	0	0	0
Amp	 1	6639893	6639893	0.000000	0.000000	0.000000	0.000000
Amp	 1	8364852	8364852	0.000000	0.000000	0.000000	0.000000
Amp	 1	8364853	8364853	0.741366	0	0	0
Amp	 1	8365802	8365802	0.741366	0	0	0
Amp	 1	8365803	8365803	0.741366	0.384303	1.094688	0.157895
Amp	 1	9103908	9103908	0.741366	0.384303	1.094688	0.157895
Amp	 1	9103909	9103909	0.390172	0	0	0
Amp	 1	9104408	9104408	0.390172	0	0	0
Amp	 1	9104409	9104409	0.390172	0.247923	1.100642	0.105263
Amp	 1	9128835	9128835	0.390172	0.247923	1.100642	0.105263
Amp	 1	9128836	9128836	0.000000	0	0	0
Amp	 1	9129536	9129536	0.000000	0	0	0
Amp	 1	9129537	9129537	0.000000	0.000000	0.000000	0.000000
Amp	 1	9553116	9553116	0.000000	0.000000	0.000000	0.000000
Amp	 1	9553117	9553117	0.000000	0	0	0
Amp	 1	9553616	9553616	0.000000	0	0	0
Amp	 1	9553617	9553617	0.000000	0.100316	1.013669	0.052632
Amp	 1	9602300	9602300	0.000000	0.100316	1.013669	0.052632
Amp	 1	9602301	9602301	0.390172	0	0	0
Amp	 1	9607546	9607546	0.390172	0	0	0
Amp	 1	9607547	9607547	0.390172	0.224054	1.046232	0.105263
Amp	 1	9735058	9735058	0.390172	0.224054	1.046232	0.105263
Amp	 1	9735059	9735059	0.000000	0	0	0
Amp	 1	9735062	9735062	0.000000	0	0	0
Amp	 1	9735063	9735063	0.000000	0.123738	1.078795	0.052632
Amp	 1	9971573	9971573	0.000000	0.123738	1.078795	0.052632
Amp	 1	9971574	9971574	0.000000	0	0	0
Amp	 1	9972073	9972073	0.000000	0	0	0
Amp	 1	9972074	9972074	0.000000	0.000000	0.000000	0.000000
Amp	 1	13223495	13223495	0.000000	0.000000	0.000000	0.000000
Amp	 1	13223496	13223496	0.000000	0	0	0
Amp	 1	13224765	13224765	0.000000	0	0	0
Amp	 1	13224766	13224766	0.000000	0.068082	0.514440	0.052632
Amp	 1	13306803	13306803	0.000000	0.068082	0.514440	0.052632
Amp	 1	13306804	13306804	0.000000	0	0	0
Amp	 1	13307049	13307049	0.000000	0	0	0
Amp	 1	13307050	13307050	0.000000	0.000000	0.000000	0.000000
Amp	 1	13614416	13614416	0.000000	0.000000	0.000000	0.000000
Amp	 1	13614417	13614417	0.875988	0	0	0
Amp	 1	13616468	13616468	0.875988	0	0	0
Amp	 1	13616469	13616469	0.875988	0.410669	1.551544	0.105263
Amp	 1	13782869	13782869	0.875988	0.410669	1.551544	0.105263
Amp	 1	13782870	13782870	0.277924	0	0	0
Amp	 1	13787080	13787080	0.277924	0	0	0
Amp	 1	13787081	13787081	0.277924	0.202233	1.528106	0.052632
Amp	 1	13823230	13823230	0.277924	0.202233	1.528106	0.052632
Amp	 1	13823231	13823231	0.000000	0	0	0
Amp	 1	13823730	13823730	0.000000	0	0	0
Amp	 1	13823731	13823731	0.000000	0.000000	0.000000	0.000000
Amp	 1	16459004	16459004	0.000000	0.000000	0.000000	0.000000
Amp	 1	16459005	16459005	0.000000	0	0	0
Amp	 1	16459504	16459504	0.000000	0	0	0
Amp	 1	16459505	16459505	0.000000	0.079942	0.604057	0.052632
Amp	 1	16948922	16948922	0.000000	0.079942	0.604057	0.052632
Amp	 1	16948923	16948923	0.000000	0	0	0
Amp	 1	16950903	16950903	0.000000	0	0	0
Amp	 1	16950904	16950904	0.000000	0.000000	0.000000	0.000000
Amp	 1	20749890	20749890	0.000000	0.000000	0.000000	0.000000
Amp	 1	20749891	20749891	0.000000	0	0	0
Amp	 1	20757150	20757150	0.000000	0	0	0
Amp	 1	20757151	20757151	0.000000	0.058357	0.440953	0.052632
Amp	 1	21219444	21219444	0.000000	0.058357	0.440953	0.052632
Amp	 1	21219445	21219445	0.000000	0	0	0
Amp	 1	21219944	21219944	0.000000	0	0	0
Amp	 1	21219945	21219945	0.000000	0.000000	0.000000	0.000000
Amp	 1	30714346	30714346	0.000000	0.000000	0.000000	0.000000
Amp	 1	30714347	30714347	0.000000	0	0	0
Amp	 1	30715146	30715146	0.000000	0	0	0
Amp	 1	30715147	30715147	0.000000	0.082290	0.522214	0.105263
Amp	 1	30716116	30716116	0.000000	0.082290	0.522214	0.105263
Amp	 1	30716117	30716117	0.194447	0.177450	0.587825	0.157895
Amp	 1	31059585	31059585	0.194447	0.177450	0.587825	0.157895
Amp	 1	31059586	31059586	0.000000	0	0	0
Amp	 1	31060085	31060085	0.000000	0	0	0
Amp	 1	31060086	31060086	0.000000	0.082290	0.621795	0.052632
Amp	 1	31269374	31269374	0.000000	0.082290	0.621795	0.052632
Amp	 1	31269375	31269375	0.000000	0	0	0
Amp	 1	31271379	31271379	0.000000	0	0	0
Amp	 1	31271380	31271380	0.000000	0.000000	0.000000	0.000000
Amp	 1	31618682	31618682	0.000000	0.000000	0.000000	0.000000
Amp	 1	31618683	31618683	0.000000	0	0	0
Amp	 1	31619182	31619182	0.000000	0	0	0
Amp	 1	31619183	31619183	0.000000	0.069178	0.522720	0.052632
Amp	 1	31623758	31623758	0.000000	0.069178	0.522720	0.052632
Amp	 1	31623759	31623759	0.009839	0	0	0
Amp	 1	31626779	31626779	0.009839	0	0	0
Amp	 1	31626780	31626780	0.009839	0.147686	0.595335	0.105263
Amp	 1	31792410	31792410	0.009839	0.147686	0.595335	0.105263
Amp	 1	31792411	31792411	0.000000	0	0	0
Amp	 1	31792662	31792662	0.000000	0	0	0
Amp	 1	31792663	31792663	0.000000	0.078508	0.667951	0.052632
Amp	 1	31792782	31792782	0.000000	0.078508	0.667951	0.052632
Amp	 1	31792783	31792783	0.000000	0	0	0
Amp	 1	31793268	31793268	0.000000	0	0	0
Amp	 1	31793269	31793269	0.000000	0.000000	0.000000	0.000000
Amp	 1	32217360	32217360	0.000000	0.000000	0.000000	0.000000
Amp	 1	32217361	32217361	0.000000	0	0	0
Amp	 1	32221103	32221103	0.000000	0	0	0
Amp	 1	32221104	32221104	0.000000	0.097054	1.088913	0.052632
Amp	 1	32362142	32362142	0.000000	0.097054	1.088913	0.052632
Amp	 1	32362143	32362143	0.000000	0	0	0
Amp	 1	32362642	32362642	0.000000	0	0	0
Amp	 1	32362643	32362643	0.000000	0.000000	0.000000	0.000000
Amp	 1	36466207	36466207	0.000000	0.000000	0.000000	0.000000
Amp	 1	36466208	36466208	0.000000	0	0	0
Amp	 1	36466347	36466347	0.000000	0	0	0
Amp	 1	36466348	36466348	0.000000	0.055747	0.430640	0.052632
Amp	 1	36466917	36466917	0.000000	0.055747	0.430640	0.052632
Amp	 1	36466918	36466918	0.000000	0	0	0
Amp	 1	36467209	36467209	0.000000	0	0	0
Amp	 1	36467210	36467210	0.000000	0.113410	0.433173	0.105263
Amp	 1	37474987	37474987	0.000000	0.113410	0.433173	0.105263
Amp	 1	37474988	37474988	0.000000	0	0	0
Amp	 1	37475487	37475487	0.000000	0	0	0
Amp	 1	37475488	37475488	0.000000	0.000000	0.000000	0.000000
Amp	 1	39968754	39968754	0.000000	0.000000	0.000000	0.000000
Amp	 1	39968755	39968755	0.000000	0	0	0
Amp	 1	39969476	39969476	0.000000	0	0	0
Amp	 1	39969477	39969477	0.000000	0.057837	0.574722	0.105263
Amp	 1	40462897	40462897	0.000000	0.057837	0.574722	0.105263
Amp	 1	40462898	40462898	0.000000	0	0	0
Amp	 1	40462997	40462997	0.000000	0	0	0
Amp	 1	40462998	40462998	0.000000	0.000000	0.463215	0.052632
Amp	 1	44673801	44673801	0.000000	0.000000	0.463215	0.052632
Amp	 1	44673802	44673802	0.009839	0	0	0
Amp	 1	44674301	44674301	0.009839	0	0	0
Amp	 1	44674302	44674302	0.009839	0.149831	1.221825	0.052632
Amp	 1	44701127	44701127	0.009839	0.149831	1.221825	0.052632
Amp	 1	44701128	44701128	0.622133	0	0	0
Amp	 1	44704070	44704070	0.622133	0	0	0
Amp	 1	44704071	44704071	0.622133	0.298458	1.285823	0.105263
Amp	 1	44803161	44803161	0.622133	0.298458	1.285823	0.105263
Amp	 1	44803162	44803162	0.009839	0	0	0
Amp	 1	44803585	44803585	0.009839	0	0	0
Amp	 1	44803586	44803586	0.009839	0.149831	1.221825	0.052632
Amp	 1	44820136	44820136	0.009839	0.149831	1.221825	0.052632
Amp	 1	44820137	44820137	0.000000	0	0	0
Amp	 1	44822404	44822404	0.000000	0	0	0
Amp	 1	44822405	44822405	0.000000	0.000000	0.000000	0.000000
Amp	 1	77875073	77875073	0.000000	0.000000	0.000000	0.000000
Amp	 1	77875074	77875074	0.000000	0	0	0
Amp	 1	77875573	77875573	0.000000	0	0	0
Amp	 1	77875574	77875574	0.000000	0.106034	0.801208	0.052632
Amp	 1	78080868	78080868	0.000000	0.106034	0.801208	0.052632
Amp	 1	78080869	78080869	0.000000	0	0	0
Amp	 1	78081368	78081368	0.000000	0	0	0
Amp	 1	78081369	78081369	0.000000	0.000000	0.000000	0.000000
Amp	 1	92380881	92380881	0.000000	0.000000	0.000000	0.000000
Amp	 1	92380882	92380882	0.000000	0	0	0
Amp	 1	92387571	92387571	0.000000	0	0	0
Amp	 1	92387572	92387572	0.000000	0.081299	0.695531	0.052632
Amp	 1	93521547	93521547	0.000000	0.081299	0.695531	0.052632
Amp	 1	93521548	93521548	0.000000	0	0	0
Amp	 1	93523333	93523333	0.000000	0	0	0
Amp	 1	93523334	93523334	0.000000	0.000000	0.000000	0.000000
Amp	 1	93993298	93993298	0.000000	0.000000	0.000000	0.000000
Amp	 1	93993299	93993299	0.000000	0	0	0
Amp	 1	93996090	93996090	0.000000	0	0	0
Amp	 1	93996091	93996091	0.000000	0.078432	0.602045	0.052632
Amp	 1	94079471	94079471	0.000000	0.078432	0.602045	0.052632
Amp	 1	94079472	94079472	0.000000	0	0	0
Amp	 1	94080467	94080467	0.000000	0	0	0
Amp	 1	94080468	94080468	0.000000	0.000000	0.000000	0.000000
Amp	 1	100961933	100961933	0.000000	0.000000	0.000000	0.000000
Amp	 1	100961934	100961934	0.000000	0	0	0
Amp	 1	100965758	100965758	0.000000	0	0	0
Amp	 1	100965759	100965759	0.000000	0.080262	0.606476	0.052632
Amp	 1	109066243	109066243	0.000000	0.080262	0.606476	0.052632
Amp	 1	109066244	109066244	0.263798	0	0	0
Amp	 1	109074966	109074966	0.263798	0	0	0
Amp	 1	109074967	109074967	0.263798	0.195874	0.820444	0.105263
Amp	 1	109229581	109229581	0.263798	0.195874	0.820444	0.105263
Amp	 1	109229582	109229582	0.000000	0	0	0
Amp	 1	109230868	109230868	0.000000	0	0	0
